event_id,shipment_id,delay_reason,delay_days,weather_impact,port_congestion
EVT000071,SHP002704,Mechanical,14,0.73,0.64
EVT000072,SHP000923,Weather,12,0.59,0.81
EVT000073,SHP001147,Customs,11,0.2,0.03
EVT000074,SHP001313,Port Congestion,4,0.21,0.68
EVT000075,SHP000025,Port Congestion,9,0.27,0.46
EVT000076,SHP000560,Customs,8,1.0,0.77
EVT000077,SHP002796,Port Congestion,10,0.76,0.01
EVT000078,SHP002538,Port Congestion,14,0.3,0.23
EVT000079,SHP002668,Port Congestion,12,0.07,0.24
EVT000080,SHP001460,Mechanical,12,0.97,0.7
EVT000081,SHP002704,Customs,14,0.33,0.9
EVT000082,SHP000489,Weather,12,0.59,0.08
EVT000083,SHP002029,Weather,2,0.02,0.39
EVT000084,SHP002775,Mechanical,8,0.53,0.17
EVT000085,SHP002007,Customs,9,1.0,0.58
EVT000086,SHP002161,Mechanical,12,0.65,0.91
EVT000087,SHP000126,Mechanical,13,0.11,0.9
EVT000088,SHP001300,Mechanical,10,0.01,0.7
EVT000089,SHP001924,Weather,13,0.07,0.56
EVT000090,SHP001789,Mechanical,14,0.54,0.54
EVT000091,SHP002488,Port Congestion,11,0.92,0.05
EVT000092,SHP000057,Port Congestion,3,0.8,0.62
EVT000093,SHP000401,Weather,6,0.54,0.65
EVT000094,SHP001665,Port Congestion,4,0.67,0.65
EVT000095,SHP002808,Weather,1,0.22,0.26
EVT000096,SHP001109,Mechanical,13,0.85,0.56
EVT000097,SHP001100,Port Congestion,4,0.63,0.62
EVT000098,SHP000682,Mechanical,8,0.58,0.5
EVT000099,SHP002709,Port Congestion,5,0.35,0.01
EVT000100,SHP001601,Customs,1,0.75,0.05
EVT000101,SHP000477,Port Congestion,1,0.96,0.35
EVT000102,SHP002503,Mechanical,7,0.87,0.47
EVT000103,SHP002178,Port Congestion,13,0.76,0.9
EVT000104,SHP002085,Customs,8,0.09,0.69
EVT000105,SHP001716,Mechanical,13,0.82,0.39
EVT000106,SHP001288,Customs,12,0.32,0.26
EVT000107,SHP001753,Weather,12,0.23,0.78
EVT000108,SHP002271,Weather,5,0.41,0.97
EVT000109,SHP000005,Weather,8,0.7,0.68
EVT000110,SHP001671,Mechanical,5,0.65,0.67
EVT000111,SHP002392,Weather,10,0.56,0.24
EVT000112,SHP002000,Weather,4,0.07,0.77
EVT000113,SHP002446,Mechanical,11,0.81,0.24
EVT000114,SHP002130,Mechanical,8,0.57,0.72
EVT000115,SHP000358,Port Congestion,3,0.97,0.78
EVT000116,SHP000846,Weather,5,0.9,0.86
EVT000117,SHP001159,Port Congestion,8,0.47,0.26
EVT000118,SHP000842,Mechanical,7,0.6,0.01
EVT000119,SHP000813,Customs,11,0.61,0.22
EVT000120,SHP002248,Weather,12,0.72,0.21
EVT000121,SHP002431,Port Congestion,12,0.43,0.45
EVT000122,SHP000800,Port Congestion,11,0.47,0.38
EVT000123,SHP002036,Customs,1,0.43,0.05
EVT000124,SHP001284,Mechanical,10,0.06,0.5
EVT000125,SHP000999,Port Congestion,10,0.1,0.51
EVT000126,SHP002847,Port Congestion,3,0.62,0.62
EVT000127,SHP000351,Port Congestion,1,0.44,0.76
EVT000128,SHP002830,Port Congestion,8,0.94,0.74
EVT000129,SHP000308,Mechanical,8,0.81,0.38
EVT000130,SHP000401,Weather,3,0.85,0.1
EVT000131,SHP001678,Customs,13,0.74,0.22
EVT000132,SHP002152,Port Congestion,9,0.81,0.25
EVT000133,SHP000581,Customs,12,0.92,0.06
EVT000134,SHP000139,Mechanical,13,0.04,0.04
EVT000135,SHP002997,Mechanical,4,0.9,0.92
EVT000136,SHP001382,Port Congestion,12,0.17,0.49
EVT000137,SHP002337,Weather,8,0.37,0.69
EVT000138,SHP001713,Mechanical,13,0.16,0.52
EVT000139,SHP001161,Mechanical,12,0.02,0.24
EVT000140,SHP001521,Port Congestion,8,0.29,0.2
EVT000141,SHP002716,Customs,4,0.88,0.22
EVT000142,SHP000920,Port Congestion,12,0.52,0.6
EVT000143,SHP002411,Customs,14,0.82,0.23
EVT000144,SHP000812,Customs,2,0.31,0.37
EVT000145,SHP002043,Port Congestion,10,0.5,0.96
EVT000146,SHP000511,Port Congestion,7,0.67,0.32
EVT000147,SHP000014,Port Congestion,14,0.41,0.61
EVT000148,SHP001550,Mechanical,7,0.69,0.91
EVT000149,SHP000990,Port Congestion,14,0.41,0.13
EVT000150,SHP000548,Port Congestion,2,0.09,0.37
EVT000151,SHP000158,Port Congestion,10,0.04,0.67
EVT000152,SHP001580,Port Congestion,12,0.91,0.13
EVT000153,SHP002684,Mechanical,4,0.2,0.11
EVT000154,SHP000227,Mechanical,2,0.98,0.3
EVT000155,SHP000578,Port Congestion,3,0.72,0.66
EVT000156,SHP000295,Mechanical,14,0.85,0.75
EVT000157,SHP000010,Port Congestion,11,0.77,0.68
EVT000158,SHP002780,Customs,6,0.85,0.43
EVT000159,SHP001397,Port Congestion,9,0.79,0.9
EVT000160,SHP002846,Mechanical,6,0.33,0.76
EVT000161,SHP000550,Customs,2,0.19,0.46
EVT000162,SHP002345,Weather,2,0.09,0.57
EVT000163,SHP000964,Mechanical,9,0.66,0.58
EVT000164,SHP002517,Weather,12,0.77,0.04
EVT000165,SHP000949,Customs,9,0.52,0.59
EVT000166,SHP001092,Mechanical,1,0.68,0.35
EVT000167,SHP000788,Mechanical,13,0.58,0.84
EVT000168,SHP002055,Customs,10,0.99,0.41
EVT000169,SHP000541,Customs,9,0.24,0.07
EVT000170,SHP002075,Weather,14,0.2,0.09
EVT000171,SHP001655,Weather,5,0.14,0.46
EVT000172,SHP002435,Customs,12,0.16,0.03
EVT000173,SHP000110,Mechanical,3,0.13,0.97
EVT000174,SHP002972,Weather,6,0.44,0.89
EVT000175,SHP001570,Weather,13,0.54,0.54
EVT000176,SHP001766,Weather,13,0.69,0.77
EVT000177,SHP001182,Port Congestion,8,0.22,0.77
EVT000178,SHP001847,Weather,11,0.26,0.55
EVT000179,SHP001764,Mechanical,12,0.83,0.93
EVT000180,SHP001954,Port Congestion,2,0.89,0.31
EVT000181,SHP000631,Customs,5,0.18,0.9
EVT000182,SHP001324,Customs,2,0.72,0.21
EVT000183,SHP002505,Weather,6,0.22,0.53
EVT000184,SHP002469,Weather,3,0.65,0.06
EVT000185,SHP000656,Weather,10,0.72,0.63
EVT000186,SHP000221,Port Congestion,2,0.56,0.72
EVT000187,SHP002692,Mechanical,6,0.53,0.1
EVT000188,SHP002357,Weather,9,0.3,0.96
EVT000189,SHP001900,Port Congestion,11,0.37,0.73
EVT000190,SHP000585,Mechanical,11,0.68,0.91
EVT000191,SHP001608,Customs,12,0.13,0.41
EVT000192,SHP002238,Mechanical,10,0.53,0.09
EVT000193,SHP001512,Weather,7,0.25,0.71
EVT000194,SHP000748,Weather,8,0.09,0.97
EVT000195,SHP001298,Weather,7,0.56,0.8
EVT000196,SHP002476,Mechanical,9,0.75,0.66
EVT000197,SHP002033,Mechanical,1,0.71,0.99
EVT000198,SHP000577,Port Congestion,12,0.11,0.61
EVT000199,SHP001183,Mechanical,7,0.88,0.88
EVT000200,SHP002804,Customs,6,0.25,0.29
EVT000201,SHP000520,Customs,8,0.12,0.48
EVT000202,SHP000192,Customs,9,0.31,0.39
EVT000203,SHP002236,Customs,10,0.79,0.3
EVT000204,SHP002853,Port Congestion,13,0.85,0.37
EVT000205,SHP000955,Customs,8,0.56,0.29
EVT000206,SHP002399,Customs,1,0.1,0.05
EVT000207,SHP001442,Mechanical,13,0.91,0.32
EVT000208,SHP001858,Mechanical,3,0.77,0.37
EVT000209,SHP002166,Port Congestion,4,0.65,0.59
EVT000210,SHP002717,Port Congestion,14,0.09,0.68
EVT000211,SHP000449,Mechanical,6,0.84,0.05
EVT000212,SHP001997,Customs,3,0.9,0.11
EVT000213,SHP000690,Customs,1,0.88,0.34
EVT000214,SHP000479,Mechanical,12,0.78,0.9
EVT000215,SHP000029,Mechanical,3,0.51,0.02
EVT000216,SHP002772,Port Congestion,3,0.86,0.09
EVT000217,SHP001185,Mechanical,11,0.39,0.95
EVT000218,SHP001140,Port Congestion,9,0.73,0.92
EVT000219,SHP000801,Port Congestion,11,0.36,0.19
EVT000220,SHP002921,Port Congestion,3,0.0,0.5
EVT000221,SHP000857,Port Congestion,2,0.11,0.86
EVT000222,SHP001750,Weather,8,0.29,0.06
EVT000223,SHP000938,Customs,7,0.58,0.06
EVT000224,SHP001839,Customs,13,0.17,0.82
EVT000225,SHP001598,Mechanical,10,0.43,0.07
EVT000226,SHP002081,Port Congestion,13,0.54,0.77
EVT000227,SHP001038,Weather,9,0.98,0.62
EVT000228,SHP002043,Weather,5,0.36,0.95
EVT000229,SHP002506,Port Congestion,12,0.49,0.5
EVT000230,SHP001719,Weather,11,0.69,0.95
EVT000231,SHP001669,Weather,3,0.08,0.56
EVT000232,SHP000023,Mechanical,14,0.61,0.64
EVT000233,SHP001342,Mechanical,9,0.3,0.4
EVT000234,SHP002357,Mechanical,3,0.43,0.59
EVT000235,SHP001284,Customs,6,0.34,0.79
EVT000236,SHP001199,Customs,14,0.32,0.89
EVT000237,SHP000566,Weather,8,0.18,0.27
EVT000238,SHP001511,Port Congestion,10,0.87,0.15
EVT000239,SHP000984,Customs,12,0.42,0.21
EVT000240,SHP000682,Customs,7,0.86,0.68
EVT000241,SHP002385,Mechanical,11,0.95,0.26
EVT000242,SHP001364,Customs,2,0.61,0.49
EVT000243,SHP001055,Port Congestion,14,0.56,0.5
EVT000244,SHP002769,Mechanical,4,0.75,0.54
EVT000245,SHP000072,Mechanical,1,0.88,0.51
EVT000246,SHP001347,Customs,6,0.91,0.26
EVT000247,SHP001143,Weather,13,0.55,0.09
EVT000248,SHP000995,Weather,9,0.72,0.42
EVT000249,SHP001519,Port Congestion,6,0.56,0.24
EVT000250,SHP000857,Customs,4,0.47,0.04
EVT000251,SHP001254,Mechanical,7,0.15,0.65
EVT000252,SHP001920,Mechanical,6,0.44,0.95
EVT000253,SHP001544,Mechanical,11,0.7,0.92
EVT000254,SHP002735,Port Congestion,3,0.67,0.09
EVT000255,SHP000947,Weather,12,0.48,0.39
EVT000256,SHP002921,Weather,12,0.81,0.62
EVT000257,SHP002543,Customs,1,0.16,0.24
EVT000258,SHP001392,Weather,9,0.61,0.6
EVT000259,SHP001329,Customs,1,0.59,0.18
EVT000260,SHP001516,Customs,9,0.45,0.59
EVT000261,SHP001478,Customs,12,0.07,0.43
EVT000262,SHP001029,Customs,9,0.67,0.63
EVT000263,SHP001513,Customs,3,0.52,0.36
EVT000264,SHP001309,Port Congestion,7,0.25,0.31
EVT000265,SHP002362,Weather,2,0.15,0.75
EVT000266,SHP000677,Port Congestion,14,0.54,0.98
EVT000267,SHP000587,Mechanical,9,0.75,0.29
EVT000268,SHP001931,Weather,6,0.94,0.17
EVT000269,SHP001907,Customs,6,0.36,0.07
EVT000270,SHP002444,Port Congestion,12,0.17,0.25
EVT000271,SHP001651,Port Congestion,2,0.57,0.57
EVT000272,SHP000902,Weather,12,0.08,0.61
EVT000273,SHP000727,Port Congestion,4,0.74,0.59
EVT000274,SHP002745,Customs,11,0.72,0.17
EVT000275,SHP001986,Customs,4,0.69,0.11
EVT000276,SHP001076,Weather,11,0.59,0.55
EVT000277,SHP002177,Mechanical,6,0.8,0.55
EVT000278,SHP000773,Port Congestion,13,0.8,0.49
EVT000279,SHP001190,Customs,2,0.33,0.73
EVT000280,SHP000187,Mechanical,9,0.89,0.95
EVT000281,SHP002567,Mechanical,2,0.96,0.91
EVT000282,SHP001468,Port Congestion,11,0.26,0.42
EVT000283,SHP002096,Weather,13,0.28,0.28
EVT000284,SHP002572,Weather,11,0.87,0.79
EVT000285,SHP002888,Port Congestion,4,0.74,0.96
EVT000286,SHP001281,Port Congestion,11,0.99,0.07
EVT000287,SHP000655,Customs,10,0.82,0.17
EVT000288,SHP001328,Customs,9,0.86,0.42
EVT000289,SHP001564,Customs,2,0.72,0.25
EVT000290,SHP001078,Port Congestion,14,0.91,0.6
EVT000291,SHP000026,Mechanical,13,0.04,0.91
EVT000292,SHP000230,Weather,5,0.34,0.4
EVT000293,SHP001460,Port Congestion,13,0.41,0.54
EVT000294,SHP001610,Port Congestion,4,0.57,0.3
EVT000295,SHP000621,Weather,12,0.99,0.32
EVT000296,SHP002705,Port Congestion,14,0.99,0.09
EVT000297,SHP001765,Port Congestion,3,0.02,0.2
EVT000298,SHP002327,Weather,12,0.38,0.67
EVT000299,SHP002128,Weather,9,0.66,0.53
EVT000300,SHP001015,Port Congestion,1,0.21,0.44
EVT000301,SHP002269,Weather,6,0.76,0.67
EVT000302,SHP001626,Customs,2,0.54,0.81
EVT000303,SHP002850,Weather,8,0.29,0.38
EVT000304,SHP000440,Customs,12,0.72,0.78
EVT000305,SHP002635,Weather,11,0.42,0.22
EVT000306,SHP001248,Mechanical,10,0.13,0.06
EVT000307,SHP000725,Port Congestion,12,0.85,0.94
EVT000308,SHP002158,Weather,10,0.45,0.38
EVT000309,SHP001818,Weather,7,0.4,0.13
EVT000310,SHP001422,Mechanical,9,0.93,0.56
EVT000311,SHP002911,Customs,9,0.17,0.01
EVT000312,SHP000192,Port Congestion,13,0.06,0.75
EVT000313,SHP000743,Port Congestion,7,0.9,0.34
EVT000314,SHP000832,Customs,3,0.98,0.06
EVT000315,SHP001077,Weather,10,0.43,0.1
EVT000316,SHP001793,Customs,10,0.68,0.28
EVT000317,SHP000651,Port Congestion,9,0.28,0.81
EVT000318,SHP001778,Customs,5,0.16,0.85
EVT000319,SHP002459,Port Congestion,8,0.43,0.38
EVT000320,SHP000282,Customs,12,0.75,0.45
EVT000321,SHP000170,Port Congestion,1,0.51,0.16
EVT000322,SHP000139,Mechanical,14,0.62,0.88
EVT000323,SHP002982,Weather,12,0.19,0.28
EVT000324,SHP001163,Mechanical,4,0.94,0.08
EVT000325,SHP002132,Weather,10,0.54,0.45
EVT000326,SHP001806,Port Congestion,8,0.14,0.42
EVT000327,SHP000684,Customs,12,0.91,0.44
EVT000328,SHP002982,Customs,9,0.77,0.78
EVT000329,SHP002285,Port Congestion,2,0.42,0.06
EVT000330,SHP001798,Mechanical,14,0.55,0.4
EVT000331,SHP002206,Mechanical,8,0.71,0.97
EVT000332,SHP002714,Weather,12,0.81,0.65
EVT000333,SHP002212,Customs,9,0.17,0.82
EVT000334,SHP000077,Customs,11,0.3,0.6
EVT000335,SHP000077,Customs,3,0.76,0.43
EVT000336,SHP001820,Port Congestion,9,0.72,0.88
EVT000337,SHP002858,Weather,6,0.0,0.91
EVT000338,SHP002202,Port Congestion,13,0.6,0.26
EVT000339,SHP001464,Mechanical,6,0.16,0.53
EVT000340,SHP001858,Customs,9,0.02,0.68
EVT000341,SHP002344,Weather,9,0.63,0.51
EVT000342,SHP000820,Weather,6,0.35,0.14
EVT000343,SHP002772,Weather,7,0.84,0.06
EVT000344,SHP001294,Mechanical,13,1.0,0.06
EVT000345,SHP002426,Weather,3,0.73,0.92
EVT000346,SHP001702,Mechanical,8,0.44,0.29
EVT000347,SHP002206,Customs,14,0.48,0.35
EVT000348,SHP000011,Mechanical,14,0.79,0.88
EVT000349,SHP000369,Mechanical,10,0.55,0.59
EVT000350,SHP002046,Port Congestion,11,0.26,0.78
EVT000351,SHP000796,Mechanical,3,0.1,0.02
EVT000352,SHP001192,Weather,11,0.45,0.94
EVT000353,SHP001491,Weather,14,0.31,0.72
EVT000354,SHP001164,Customs,3,0.03,0.28
EVT000355,SHP001068,Weather,5,0.2,0.18
EVT000356,SHP001741,Customs,1,0.32,0.67
EVT000357,SHP002454,Mechanical,7,0.88,0.37
EVT000358,SHP001296,Customs,6,0.56,0.36
EVT000359,SHP002986,Port Congestion,13,0.65,0.49
EVT000360,SHP002899,Port Congestion,13,0.07,0.71
EVT000361,SHP000791,Port Congestion,14,0.43,0.12
EVT000362,SHP002297,Weather,2,0.05,0.19
EVT000363,SHP001674,Port Congestion,14,0.8,0.47
EVT000364,SHP000474,Port Congestion,5,0.75,0.38
EVT000365,SHP002132,Mechanical,14,0.65,0.48
EVT000366,SHP001246,Port Congestion,8,0.26,0.5
EVT000367,SHP001356,Weather,8,0.14,0.27
EVT000368,SHP002548,Customs,13,0.17,0.6
EVT000369,SHP002232,Customs,3,0.33,0.47
EVT000370,SHP001749,Mechanical,6,0.57,0.1
EVT000371,SHP002088,Customs,5,0.93,0.23
EVT000372,SHP000725,Port Congestion,9,1.0,0.68
EVT000373,SHP001288,Port Congestion,10,0.03,0.73
EVT000374,SHP001599,Customs,13,0.56,0.33
EVT000375,SHP000883,Customs,12,0.23,0.58
EVT000376,SHP001337,Weather,7,0.26,0.29
EVT000377,SHP000097,Customs,11,0.79,0.98
EVT000378,SHP000970,Mechanical,13,0.68,0.02
EVT000379,SHP000353,Customs,4,0.64,0.0
EVT000380,SHP002985,Port Congestion,2,0.91,0.3
EVT000381,SHP002744,Port Congestion,4,0.98,0.47
EVT000382,SHP000693,Mechanical,8,0.11,0.29
EVT000383,SHP001880,Port Congestion,12,0.17,0.44
EVT000384,SHP001819,Mechanical,6,0.37,0.46
EVT000385,SHP000589,Mechanical,8,0.91,0.74
EVT000386,SHP001493,Mechanical,6,0.1,0.45
EVT000387,SHP000731,Mechanical,3,0.07,0.93
EVT000388,SHP000169,Customs,3,0.39,0.84
EVT000389,SHP000704,Port Congestion,7,0.33,0.61
EVT000390,SHP000080,Weather,4,0.27,0.38
EVT000391,SHP002304,Weather,8,0.16,0.66
EVT000392,SHP000887,Weather,13,0.54,0.78
EVT000393,SHP002780,Mechanical,8,0.57,0.28
EVT000394,SHP002377,Weather,1,0.02,0.77
EVT000395,SHP002822,Mechanical,4,0.95,1.0
EVT000396,SHP000278,Customs,11,0.44,0.27
EVT000397,SHP002120,Weather,14,0.13,0.72
EVT000398,SHP000746,Port Congestion,14,0.4,0.38
EVT000399,SHP001445,Port Congestion,11,0.39,0.64
EVT000400,SHP002250,Port Congestion,12,0.99,0.76
EVT000401,SHP001572,Mechanical,5,0.71,0.64
EVT000402,SHP001447,Mechanical,3,0.25,0.98
EVT000403,SHP001541,Mechanical,14,0.31,0.57
EVT000404,SHP002385,Weather,8,0.86,0.93
EVT000405,SHP001594,Mechanical,14,0.19,0.08
EVT000406,SHP002512,Mechanical,13,0.06,0.41
EVT000407,SHP002393,Port Congestion,1,0.64,0.36
EVT000408,SHP000213,Mechanical,1,0.39,0.33
EVT000409,SHP000788,Customs,3,0.8,0.27
EVT000410,SHP001249,Mechanical,6,0.66,0.28
EVT000411,SHP002276,Mechanical,3,0.49,0.31
EVT000412,SHP000447,Customs,7,0.06,0.72
EVT000413,SHP002661,Weather,7,0.95,0.59
EVT000414,SHP000061,Weather,13,0.73,0.68
EVT000415,SHP002342,Port Congestion,9,0.54,0.47
EVT000416,SHP001658,Port Congestion,11,0.27,0.53
EVT000417,SHP002228,Customs,7,0.21,0.92
EVT000418,SHP000605,Customs,12,0.05,0.25
EVT000419,SHP000803,Port Congestion,3,0.57,0.63
EVT000420,SHP000799,Port Congestion,11,0.52,0.82
EVT000421,SHP000865,Port Congestion,13,0.17,0.45
EVT000422,SHP002486,Customs,8,0.68,0.71
EVT000423,SHP000692,Mechanical,13,0.18,0.1
EVT000424,SHP002277,Customs,6,0.98,0.89
EVT000425,SHP001116,Weather,7,0.18,0.49
EVT000426,SHP000480,Mechanical,8,0.64,0.35
EVT000427,SHP000400,Weather,2,0.5,0.35
EVT000428,SHP002640,Customs,4,0.21,0.32
EVT000429,SHP001710,Port Congestion,5,0.98,0.49
EVT000430,SHP000743,Weather,2,0.97,0.57
EVT000431,SHP001332,Weather,12,0.62,1.0
EVT000432,SHP001179,Mechanical,5,0.66,0.17
EVT000433,SHP001001,Port Congestion,3,0.72,0.77
EVT000434,SHP001136,Port Congestion,8,0.17,0.73
EVT000435,SHP002542,Mechanical,9,0.84,0.81
EVT000436,SHP002545,Customs,14,0.35,0.17
EVT000437,SHP002610,Customs,6,0.77,0.86
EVT000438,SHP002360,Customs,5,0.54,0.88
EVT000439,SHP001298,Weather,11,0.03,0.82
EVT000440,SHP001556,Mechanical,7,0.48,0.23
EVT000441,SHP000756,Customs,11,0.98,0.74
EVT000442,SHP000566,Mechanical,1,0.61,0.49
EVT000443,SHP001779,Weather,11,0.45,0.99
EVT000444,SHP001023,Customs,12,0.07,0.55
EVT000445,SHP001951,Weather,11,0.9,0.78
EVT000446,SHP002788,Port Congestion,3,0.95,0.84
EVT000447,SHP002341,Customs,10,0.71,0.98
EVT000448,SHP000750,Weather,8,0.52,0.95
EVT000449,SHP001754,Weather,3,0.88,0.61
EVT000450,SHP002734,Weather,6,0.56,0.77
EVT000451,SHP002515,Customs,11,0.6,0.62
EVT000452,SHP000356,Weather,10,0.39,0.47
EVT000453,SHP002200,Weather,10,0.03,0.65
EVT000454,SHP001370,Weather,10,0.99,0.08
EVT000455,SHP000542,Customs,10,0.21,0.39
EVT000456,SHP001214,Customs,3,0.76,0.23
EVT000457,SHP000515,Weather,6,0.86,0.44
EVT000458,SHP000786,Weather,8,0.24,0.6
EVT000459,SHP000382,Weather,13,0.65,0.88
EVT000460,SHP001329,Mechanical,8,0.79,0.64
EVT000461,SHP000545,Customs,11,0.73,0.19
EVT000462,SHP002837,Port Congestion,1,0.04,0.11
EVT000463,SHP001747,Weather,11,0.86,0.37
EVT000464,SHP001394,Port Congestion,12,0.99,0.28
EVT000465,SHP000562,Weather,12,0.23,0.68
EVT000466,SHP001739,Weather,3,0.59,0.91
EVT000467,SHP002590,Port Congestion,3,0.47,0.23
EVT000468,SHP001521,Mechanical,3,0.92,0.93
EVT000469,SHP000461,Weather,6,0.31,0.03
EVT000470,SHP000144,Customs,7,0.9,0.06
EVT000471,SHP000491,Weather,7,0.14,0.86
EVT000472,SHP000134,Port Congestion,13,0.38,0.13
EVT000473,SHP000063,Mechanical,11,0.59,0.54
EVT000474,SHP000587,Mechanical,14,0.76,0.64
EVT000475,SHP002775,Mechanical,5,0.56,0.31
EVT000476,SHP001389,Port Congestion,11,0.49,0.0
EVT000477,SHP000416,Port Congestion,12,0.88,0.63
EVT000478,SHP001574,Customs,6,0.36,0.31
EVT000479,SHP002419,Weather,1,0.98,0.2
EVT000480,SHP002439,Port Congestion,9,0.16,0.44
EVT000481,SHP000443,Customs,11,0.67,0.22
EVT000482,SHP000097,Port Congestion,6,0.86,0.49
EVT000483,SHP000616,Mechanical,12,0.7,0.47
EVT000484,SHP002264,Weather,8,0.76,0.98
EVT000485,SHP002585,Port Congestion,2,0.09,0.23
EVT000486,SHP001765,Customs,10,0.88,0.56
EVT000487,SHP001415,Customs,4,0.07,0.98
EVT000488,SHP000024,Port Congestion,13,0.73,0.72
EVT000489,SHP002672,Mechanical,8,0.28,0.1
EVT000490,SHP001579,Weather,6,0.5,0.03
EVT000491,SHP001276,Port Congestion,8,0.48,0.15
EVT000492,SHP002099,Port Congestion,5,0.21,0.74
EVT000493,SHP002986,Mechanical,4,0.54,0.43
EVT000494,SHP000350,Mechanical,11,0.19,0.21
EVT000495,SHP002302,Port Congestion,11,0.93,0.89
EVT000496,SHP002470,Port Congestion,5,0.55,0.27
EVT000497,SHP001866,Weather,6,0.52,0.23
EVT000498,SHP002216,Customs,10,0.41,0.58
EVT000499,SHP002052,Mechanical,14,0.25,0.43
EVT000500,SHP001415,Mechanical,7,0.98,0.94
EVT000501,SHP000602,Weather,5,0.67,0.44
EVT000502,SHP001669,Weather,2,0.4,0.44
EVT000503,SHP002141,Customs,14,0.23,0.52
EVT000504,SHP001645,Customs,2,0.52,0.4
EVT000505,SHP002182,Weather,4,0.65,0.85
EVT000506,SHP002984,Port Congestion,6,0.94,0.12
EVT000507,SHP000997,Port Congestion,5,0.41,0.66
EVT000508,SHP000320,Customs,9,0.51,0.62
EVT000509,SHP001581,Customs,5,0.48,0.8
EVT000510,SHP001107,Port Congestion,7,1.0,0.51
