warehouse_id,product_id,stock_level,inbound,outbound
WH000069,PRD000069,2256,1140,3332
WH000070,PRD000070,4381,4561,1130
WH000071,PRD000071,9300,786,779
WH000072,PRD000072,5979,4152,1103
WH000073,PRD000073,3390,2209,2450
WH000074,PRD000074,9667,4008,4752
WH000075,PRD000075,8463,4604,3916
WH000076,PRD000076,6508,2610,1576
WH000077,PRD000077,698,723,1704
WH000078,PRD000078,8140,4503,3955
WH000079,PRD000079,4082,4441,3637
WH000080,PRD000080,502,3263,789
WH000081,PRD000081,5727,3760,134
WH000082,PRD000082,4837,1761,1528
WH000083,PRD000083,3443,444,3510
WH000084,PRD000084,192,4551,1973
WH000085,PRD000085,3114,130,1447
WH000086,PRD000086,8106,4687,984
WH000087,PRD000087,5352,813,4663
WH000088,PRD000088,9808,4806,4840
WH000089,PRD000089,4989,4423,425
WH000090,PRD000090,6945,3532,3292
WH000091,PRD000091,6054,1352,966
WH000092,PRD000092,122,3400,2389
WH000093,PRD000093,9056,2255,3375
WH000094,PRD000094,2675,4448,1205
WH000095,PRD000095,3756,4008,1430
WH000096,PRD000096,27,3886,3916
WH000097,PRD000097,7090,1096,4690
WH000098,PRD000098,9320,4594,1128
WH000099,PRD000099,3533,4505,1692
WH000100,PRD000100,8215,4108,3520
WH000101,PRD000101,467,392,2221
WH000102,PRD000102,3693,1226,2401
WH000103,PRD000103,5850,4143,4438
WH000104,PRD000104,8163,1390,2274
WH000105,PRD000105,9901,1993,1182
WH000106,PRD000106,2432,2213,659
WH000107,PRD000107,6893,4701,4344
WH000108,PRD000108,341,3673,3981
WH000109,PRD000109,7013,209,1651
WH000110,PRD000110,6164,573,1872
WH000111,PRD000111,304,1954,4569
WH000112,PRD000112,6591,2288,4584
WH000113,PRD000113,8642,2715,3100
WH000114,PRD000114,9103,3239,2585
WH000115,PRD000115,1253,2993,1599
WH000116,PRD000116,2684,726,3989
WH000117,PRD000117,9711,2524,2565
WH000118,PRD000118,1837,2976,590
WH000119,PRD000119,6639,2697,3375
WH000120,PRD000120,2903,1124,1003
WH000121,PRD000121,27,1484,4458
WH000122,PRD000122,2927,3598,4688
WH000123,PRD000123,2664,1808,886
WH000124,PRD000124,2429,1776,578
WH000125,PRD000125,6306,3335,2714
WH000126,PRD000126,2715,739,4999
WH000127,PRD000127,2910,4249,3138
WH000128,PRD000128,2157,1536,2022
WH000129,PRD000129,2482,3394,3351
WH000130,PRD000130,4435,4454,400
WH000131,PRD000131,1512,3445,2254
WH000132,PRD000132,9928,4068,922
WH000133,PRD000133,4978,3994,2665
WH000134,PRD000134,6904,3873,3631
WH000135,PRD000135,9050,710,330
WH000136,PRD000136,2063,3639,629
WH000137,PRD000137,2748,1934,2148
WH000138,PRD000138,7569,4889,2885
WH000139,PRD000139,5149,4005,2189
WH000140,PRD000140,3409,3626,3397
WH000141,PRD000141,7370,787,3504
WH000142,PRD000142,3728,4981,3754
WH000143,PRD000143,4365,3030,3568
WH000144,PRD000144,2468,2122,2792
WH000145,PRD000145,1717,3817,1802
WH000146,PRD000146,7464,4304,4752
WH000147,PRD000147,3590,4520,3461
WH000148,PRD000148,1126,3209,848
WH000149,PRD000149,1449,1160,4377
WH000150,PRD000150,6260,1131,1607
WH000151,PRD000151,6165,3959,2488
WH000152,PRD000152,1852,4494,1912
WH000153,PRD000153,2744,2725,4894
WH000154,PRD000154,8730,2031,297
WH000155,PRD000155,673,3254,625
WH000156,PRD000156,7207,619,4849
WH000157,PRD000157,7081,328,2327
WH000158,PRD000158,5469,834,1236
WH000159,PRD000159,847,1997,4442
WH000160,PRD000160,5028,3073,2927
WH000161,PRD000161,9029,593,4732
WH000162,PRD000162,3275,1007,4174
WH000163,PRD000163,7054,3860,4885
WH000164,PRD000164,92,4974,4080
WH000165,PRD000165,7071,1395,4549
WH000166,PRD000166,3988,4595,4738
WH000167,PRD000167,9987,3899,4089
WH000168,PRD000168,6472,98,4003
WH000169,PRD000169,5528,171,1373
WH000170,PRD000170,5706,2219,4989
WH000171,PRD000171,3738,1327,666
WH000172,PRD000172,6442,576,4137
WH000173,PRD000173,1032,585,4617
WH000174,PRD000174,9959,3308,1631
WH000175,PRD000175,7625,3907,2736
WH000176,PRD000176,1454,2477,3042
WH000177,PRD000177,3763,1955,1097
WH000178,PRD000178,7425,2522,3457
WH000179,PRD000179,1119,3521,3360
WH000180,PRD000180,4937,486,198
WH000181,PRD000181,9837,4497,2839
WH000182,PRD000182,5081,342,3430
WH000183,PRD000183,5445,3280,2387
WH000184,PRD000184,8659,3325,1410
WH000185,PRD000185,5712,3258,3466
WH000186,PRD000186,765,517,592
WH000187,PRD000187,4266,1903,4190
WH000188,PRD000188,2796,4636,1973
WH000189,PRD000189,3722,1740,2268
WH000190,PRD000190,2196,537,2871
WH000191,PRD000191,9514,986,1895
WH000192,PRD000192,1832,2966,2010
WH000193,PRD000193,6373,45,4892
WH000194,PRD000194,1448,713,3162
WH000195,PRD000195,2932,1172,3532
WH000196,PRD000196,2672,461,4528
WH000197,PRD000197,5862,4773,2134
WH000198,PRD000198,2043,2680,308
WH000199,PRD000199,9385,1169,4515
WH000200,PRD000200,7936,315,2748
WH000201,PRD000201,9417,457,2842
WH000202,PRD000202,3135,641,1726
WH000203,PRD000203,3375,742,175
WH000204,PRD000204,1896,4408,1450
WH000205,PRD000205,8197,2975,4075
WH000206,PRD000206,4999,62,3187
WH000207,PRD000207,4421,1719,2380
WH000208,PRD000208,8845,49,1635
WH000209,PRD000209,9060,3213,1957
WH000210,PRD000210,9309,2072,4505
WH000211,PRD000211,5760,2862,4141
WH000212,PRD000212,6833,2652,4088
WH000213,PRD000213,2411,2138,1219
WH000214,PRD000214,2545,3342,2082
WH000215,PRD000215,6113,1471,4257
WH000216,PRD000216,9159,1314,4631
WH000217,PRD000217,3491,4319,4152
WH000218,PRD000218,5662,2279,3543
WH000219,PRD000219,5173,3012,3636
WH000220,PRD000220,6019,2984,2237
WH000221,PRD000221,2832,1738,295
WH000222,PRD000222,6168,2104,1576
WH000223,PRD000223,2910,2607,3320
WH000224,PRD000224,6046,1636,3680
WH000225,PRD000225,5589,4886,3958
WH000226,PRD000226,2715,2770,3785
WH000227,PRD000227,6102,808,1953
WH000228,PRD000228,3194,3584,474
WH000229,PRD000229,2675,55,3701
WH000230,PRD000230,9336,3062,1050
WH000231,PRD000231,393,1608,2931
WH000232,PRD000232,3566,658,2016
WH000233,PRD000233,3318,3371,1399
WH000234,PRD000234,6322,2386,6
WH000235,PRD000235,9127,3731,4195
WH000236,PRD000236,232,2356,16
WH000237,PRD000237,3460,4915,3362
WH000238,PRD000238,7527,1504,3696
WH000239,PRD000239,5160,3500,4503
WH000240,PRD000240,9664,1246,3955
WH000241,PRD000241,1372,1002,4749
WH000242,PRD000242,3699,2445,1821
WH000243,PRD000243,6595,807,3497
WH000244,PRD000244,137,840,1498
WH000245,PRD000245,5738,4910,4176
WH000246,PRD000246,5798,2471,3259
WH000247,PRD000247,5331,1563,4344
WH000248,PRD000248,2491,3527,3256
WH000249,PRD000249,1886,676,2214
WH000250,PRD000250,2075,4300,2654
WH000251,PRD000251,6750,689,370
WH000252,PRD000252,763,1960,1153
WH000253,PRD000253,361,2417,1519
WH000254,PRD000254,9649,231,4877
WH000255,PRD000255,1139,351,405
WH000256,PRD000256,6874,4286,3130
WH000257,PRD000257,1883,1028,3238
WH000258,PRD000258,582,185,553
WH000259,PRD000259,3424,4819,4443
WH000260,PRD000260,7988,4296,2453
WH000261,PRD000261,4155,2181,3973
WH000262,PRD000262,4654,1359,3724
WH000263,PRD000263,2992,574,4571
WH000264,PRD000264,7589,1073,1765
WH000265,PRD000265,2422,3645,3263
WH000266,PRD000266,4641,1072,2366
WH000267,PRD000267,5464,4354,1968
WH000268,PRD000268,157,2634,3666
WH000269,PRD000269,8471,1254,3135
WH000270,PRD000270,467,572,4855
WH000271,PRD000271,1703,2452,533
WH000272,PRD000272,6524,3682,3280
WH000273,PRD000273,9361,907,4086
WH000274,PRD000274,171,1281,4318
WH000275,PRD000275,4808,2597,2677
WH000276,PRD000276,7480,1831,1567
WH000277,PRD000277,138,1497,2821
WH000278,PRD000278,4987,1936,24
WH000279,PRD000279,1849,4093,4828
WH000280,PRD000280,9631,856,2183
WH000281,PRD000281,3983,3077,4724
WH000282,PRD000282,1710,1360,2220
WH000283,PRD000283,8315,3655,696
WH000284,PRD000284,5111,468,2182
WH000285,PRD000285,9456,4772,4089
WH000286,PRD000286,5112,4967,329
WH000287,PRD000287,1420,916,749
WH000288,PRD000288,6614,2254,2084
WH000289,PRD000289,444,4733,193
WH000290,PRD000290,3537,4397,2223
WH000291,PRD000291,4407,2898,2911
WH000292,PRD000292,5302,3400,3674
WH000293,PRD000293,6822,2096,1228
WH000294,PRD000294,2624,4770,754
WH000295,PRD000295,9952,554,3400
WH000296,PRD000296,4029,4411,3983
WH000297,PRD000297,7073,671,2581
WH000298,PRD000298,4438,2297,3304
WH000299,PRD000299,3456,4150,4961
WH000300,PRD000300,5090,3392,4460
WH000301,PRD000301,5003,1946,630
WH000302,PRD000302,4043,3750,1709
WH000303,PRD000303,5027,1622,1911
WH000304,PRD000304,6103,726,1213
WH000305,PRD000305,7395,2194,2458
WH000306,PRD000306,5473,3075,3926
WH000307,PRD000307,5465,1536,2020
WH000308,PRD000308,5067,54,4691
WH000309,PRD000309,982,4240,3206
WH000310,PRD000310,7557,1009,3169
WH000311,PRD000311,5410,2720,1169
WH000312,PRD000312,5333,930,1257
WH000313,PRD000313,3001,4431,3385
WH000314,PRD000314,2280,1918,2587
WH000315,PRD000315,8405,552,3090
WH000316,PRD000316,6153,4847,431
WH000317,PRD000317,7024,3092,2339
WH000318,PRD000318,1760,1438,1319
WH000319,PRD000319,5920,4145,1194
WH000320,PRD000320,8933,3118,791
WH000321,PRD000321,9378,194,3144
WH000322,PRD000322,81,4259,3894
WH000323,PRD000323,886,447,946
WH000324,PRD000324,5692,3946,4935
WH000325,PRD000325,2163,1015,3964
WH000326,PRD000326,4391,1833,1600
WH000327,PRD000327,3577,2562,4141
WH000328,PRD000328,2209,4561,4933
WH000329,PRD000329,618,3006,3720
WH000330,PRD000330,6475,3561,756
WH000331,PRD000331,2507,1743,3434
WH000332,PRD000332,7765,224,4810
WH000333,PRD000333,1382,574,4947
WH000334,PRD000334,9197,582,3785
WH000335,PRD000335,4753,182,1766
WH000336,PRD000336,875,4728,162
WH000337,PRD000337,7559,2928,2352
WH000338,PRD000338,2069,3322,300
WH000339,PRD000339,5049,1825,429
WH000340,PRD000340,4766,3872,4149
WH000341,PRD000341,7083,1105,568
WH000342,PRD000342,6668,1425,4481
WH000343,PRD000343,6964,2849,3646
WH000344,PRD000344,8164,2690,3362
WH000345,PRD000345,6384,2055,4688
WH000346,PRD000346,8556,4856,1913
WH000347,PRD000347,29,3624,2352
WH000348,PRD000348,4275,1288,4994
WH000349,PRD000349,6150,2368,1615
WH000350,PRD000350,2177,1680,2433
WH000351,PRD000351,6307,1281,3084
WH000352,PRD000352,7803,578,1136
WH000353,PRD000353,1102,1868,3729
WH000354,PRD000354,355,2199,2941
WH000355,PRD000355,52,1829,966
WH000356,PRD000356,5688,1776,1203
WH000357,PRD000357,4154,1402,172
WH000358,PRD000358,8702,4633,4106
WH000359,PRD000359,7046,2564,4420
WH000360,PRD000360,7898,1478,507
WH000361,PRD000361,5492,4775,2343
WH000362,PRD000362,9168,1426,553
WH000363,PRD000363,1783,4850,1840
WH000364,PRD000364,5504,422,510
WH000365,PRD000365,2931,2424,4085
WH000366,PRD000366,5427,2640,1466
WH000367,PRD000367,3214,1537,2101
WH000368,PRD000368,6265,4176,1580
WH000369,PRD000369,4904,2467,3551
WH000370,PRD000370,8934,4892,913
WH000371,PRD000371,3318,635,65
WH000372,PRD000372,3680,3354,4841
WH000373,PRD000373,4851,1256,4217
WH000374,PRD000374,9299,2300,4275
WH000375,PRD000375,9456,4066,4171
WH000376,PRD000376,5154,2531,3827
WH000377,PRD000377,4646,1181,3303
WH000378,PRD000378,6423,2988,1015
WH000379,PRD000379,2510,1127,4193
WH000380,PRD000380,3348,4259,1228
WH000381,PRD000381,8127,2873,574
WH000382,PRD000382,5646,1873,4037
WH000383,PRD000383,2849,790,1632
WH000384,PRD000384,2452,1051,2931
WH000385,PRD000385,9264,4314,3536
WH000386,PRD000386,2793,1121,2092
WH000387,PRD000387,7097,3612,3485
WH000388,PRD000388,8202,3914,4794
WH000389,PRD000389,5184,2436,1886
WH000390,PRD000390,5092,4392,2291
WH000391,PRD000391,3716,3671,2127
WH000392,PRD000392,3989,566,4416
WH000393,PRD000393,4931,367,1633
WH000394,PRD000394,8280,3739,2241
WH000395,PRD000395,2401,1212,4327
WH000396,PRD000396,403,4832,3845
WH000397,PRD000397,7923,2724,4365
WH000398,PRD000398,201,2735,4083
WH000399,PRD000399,624,825,1978
WH000400,PRD000400,9150,4695,705
WH000401,PRD000401,8799,3717,4881
WH000402,PRD000402,8054,4709,3140
WH000403,PRD000403,943,3434,1380
WH000404,PRD000404,4472,1624,2739
WH000405,PRD000405,5804,651,3374
WH000406,PRD000406,8544,3637,2746
WH000407,PRD000407,3580,1453,3734
WH000408,PRD000408,3709,2089,2615
WH000409,PRD000409,2545,1509,1288
WH000410,PRD000410,2346,1945,2143
WH000411,PRD000411,4894,1592,3269
WH000412,PRD000412,3725,4161,668
WH000413,PRD000413,5833,4722,3719
WH000414,PRD000414,2036,4768,294
WH000415,PRD000415,4394,3300,4579
WH000416,PRD000416,3273,1659,1243
WH000417,PRD000417,1519,1919,4628
WH000418,PRD000418,3330,3609,4136
WH000419,PRD000419,3181,2251,4487
WH000420,PRD000420,5439,4763,3400
WH000421,PRD000421,150,896,1541
WH000422,PRD000422,7389,389,2454
WH000423,PRD000423,4214,1421,4935
WH000424,PRD000424,9920,2892,3853
WH000425,PRD000425,462,1085,1801
WH000426,PRD000426,1310,4847,2855
WH000427,PRD000427,8588,3074,1351
WH000428,PRD000428,24,1342,259
WH000429,PRD000429,8449,1235,566
WH000430,PRD000430,2409,317,2066
WH000431,PRD000431,7909,2921,4346
WH000432,PRD000432,5566,1658,767
WH000433,PRD000433,4207,3756,3702
WH000434,PRD000434,4132,4057,1403
WH000435,PRD000435,835,691,929
WH000436,PRD000436,6379,3505,205
WH000437,PRD000437,3570,2301,4423
WH000438,PRD000438,9461,1627,3705
WH000439,PRD000439,7081,1879,2679
WH000440,PRD000440,4776,1005,631
WH000441,PRD000441,1901,1852,2051
WH000442,PRD000442,2695,938,3376
WH000443,PRD000443,2890,4009,2540
WH000444,PRD000444,3743,4034,793
WH000445,PRD000445,9708,4390,1248
WH000446,PRD000446,4228,584,4611
WH000447,PRD000447,8085,756,3063
WH000448,PRD000448,1065,3356,1090
WH000449,PRD000449,5441,4015,819
WH000450,PRD000450,4351,4921,1890
WH000451,PRD000451,6174,4119,4191
WH000452,PRD000452,9595,3755,1253
WH000453,PRD000453,7137,4654,4110
WH000454,PRD000454,9600,629,1992
WH000455,PRD000455,264,4610,4768
WH000456,PRD000456,7106,2778,4932
WH000457,PRD000457,9562,959,1738
WH000458,PRD000458,2213,1925,3721
WH000459,PRD000459,2450,1296,1031
WH000460,PRD000460,692,2201,4327
WH000461,PRD000461,6320,1409,724
WH000462,PRD000462,7011,1811,2840
WH000463,PRD000463,9884,1523,3258
WH000464,PRD000464,6188,1272,896
WH000465,PRD000465,7936,1461,2298
WH000466,PRD000466,7781,2652,2172
WH000467,PRD000467,5581,4854,1869
WH000468,PRD000468,8507,3285,1058
WH000469,PRD000469,8989,3314,1071
WH000470,PRD000470,5436,2952,3356
WH000471,PRD000471,8468,3553,3006
WH000472,PRD000472,5118,3593,3149
WH000473,PRD000473,9738,3238,2892
WH000474,PRD000474,1020,4132,895
WH000475,PRD000475,5583,1688,4991
WH000476,PRD000476,8363,352,3786
WH000477,PRD000477,7464,732,3950
WH000478,PRD000478,3231,1039,4441
WH000479,PRD000479,9381,400,2427
WH000480,PRD000480,7618,124,4608
WH000481,PRD000481,3158,978,1084
WH000482,PRD000482,9117,3780,3221
WH000483,PRD000483,828,3832,2879
WH000484,PRD000484,881,2282,1541
WH000485,PRD000485,9187,1695,2118
WH000486,PRD000486,9074,1347,1158
WH000487,PRD000487,2741,4472,2931
WH000488,PRD000488,8317,3561,2050
WH000489,PRD000489,288,189,4269
WH000490,PRD000490,3243,4517,2857
WH000491,PRD000491,625,1173,4407
WH000492,PRD000492,6670,3738,3065
WH000493,PRD000493,6489,2886,3666
WH000494,PRD000494,6993,4612,1798
WH000495,PRD000495,1882,2580,2889
WH000496,PRD000496,3185,1482,1980
WH000497,PRD000497,2282,4811,777
WH000498,PRD000498,178,3055,4631
WH000499,PRD000499,799,1985,243
WH000500,PRD000500,4019,897,484
WH000501,PRD000501,4144,4398,1421
WH000502,PRD000502,4031,3503,4112
WH000503,PRD000503,7028,4782,1622
WH000504,PRD000504,6313,399,2197
WH000505,PRD000505,4556,3870,2707
WH000506,PRD000506,4650,4110,286
WH000507,PRD000507,6783,1304,962
WH000508,PRD000508,4828,580,3071
WH000509,PRD000509,8643,2771,3596
WH000510,PRD000510,4260,2276,2801
WH000511,PRD000511,8184,2222,366
WH000512,PRD000512,3790,1013,2289
WH000513,PRD000513,8698,1373,3359
WH000514,PRD000514,7817,4,8
WH000515,PRD000515,9659,854,3360
WH000516,PRD000516,5825,3409,2924
WH000517,PRD000517,7378,1582,2601
WH000518,PRD000518,9353,637,4827
WH000519,PRD000519,9727,691,843
WH000520,PRD000520,6938,162,3411
WH000521,PRD000521,4259,2411,3585
WH000522,PRD000522,9478,1904,338
WH000523,PRD000523,6465,391,4778
WH000524,PRD000524,1509,861,3772
WH000525,PRD000525,1031,3190,4894
WH000526,PRD000526,7595,2882,4328
WH000527,PRD000527,2183,760,1972
WH000528,PRD000528,2932,4403,4502
WH000529,PRD000529,6548,2418,3139
WH000530,PRD000530,7414,1493,1036
WH000531,PRD000531,973,1710,1680
WH000532,PRD000532,3421,1758,4529
WH000533,PRD000533,4118,269,2309
WH000534,PRD000534,7157,1102,2591
WH000535,PRD000535,7290,1583,109
WH000536,PRD000536,137,3193,3407
WH000537,PRD000537,1770,4701,2619
WH000538,PRD000538,778,2060,2712
WH000539,PRD000539,1785,1533,600
WH000540,PRD000540,1324,4770,1482
WH000541,PRD000541,3435,2025,3767
WH000542,PRD000542,9759,2298,880
WH000543,PRD000543,3745,4491,1907
WH000544,PRD000544,5336,1727,1647
WH000545,PRD000545,2839,4438,4239
WH000546,PRD000546,4150,1428,356
WH000547,PRD000547,1059,655,4696
WH000548,PRD000548,4159,113,3534
WH000549,PRD000549,3154,4625,3760
WH000550,PRD000550,3766,848,3959
WH000551,PRD000551,2530,2893,1616
WH000552,PRD000552,8289,3452,615
WH000553,PRD000553,2154,936,3391
WH000554,PRD000554,2580,747,1209
WH000555,PRD000555,2997,1839,4582
WH000556,PRD000556,2120,2353,4863
WH000557,PRD000557,5011,4827,2295
WH000558,PRD000558,8275,4424,674
WH000559,PRD000559,5826,3976,4628
WH000560,PRD000560,3353,4847,773
WH000561,PRD000561,2177,1330,627
WH000562,PRD000562,6774,352,2471
WH000563,PRD000563,5093,2035,2327
WH000564,PRD000564,5635,4469,4107
WH000565,PRD000565,7503,4131,3756
WH000566,PRD000566,4593,3271,3771
WH000567,PRD000567,8870,4170,158
WH000568,PRD000568,3718,2564,2460
WH000569,PRD000569,75,3783,4218
WH000570,PRD000570,1682,2549,432
WH000571,PRD000571,8146,3458,3419
WH000572,PRD000572,4344,731,767
WH000573,PRD000573,5096,3452,2092
WH000574,PRD000574,3405,1554,3478
WH000575,PRD000575,2092,1630,2337
WH000576,PRD000576,5312,2112,768
WH000577,PRD000577,5162,650,4197
WH000578,PRD000578,4014,2451,4496
WH000579,PRD000579,8560,4948,3339
WH000580,PRD000580,3182,2771,4088
WH000581,PRD000581,7626,3810,2562
WH000582,PRD000582,8845,3546,353
WH000583,PRD000583,29,3072,838
WH000584,PRD000584,8696,1061,3312
WH000585,PRD000585,1056,523,1067
WH000586,PRD000586,3759,757,3917
WH000587,PRD000587,2382,1059,3706
WH000588,PRD000588,3006,3337,3576
WH000589,PRD000589,9550,3560,3256
WH000590,PRD000590,8643,57,2360
WH000591,PRD000591,8723,2319,2928
WH000592,PRD000592,8342,586,2870
WH000593,PRD000593,7318,591,2515
WH000594,PRD000594,3911,188,3512
WH000595,PRD000595,4662,3189,278
WH000596,PRD000596,512,1199,2790
WH000597,PRD000597,4746,69,3594
WH000598,PRD000598,5083,1549,616
WH000599,PRD000599,7407,2998,816
WH000600,PRD000600,6561,311,4038
WH000601,PRD000601,2901,600,2993
WH000602,PRD000602,8662,389,4232
WH000603,PRD000603,6892,4529,1324
WH000604,PRD000604,8778,217,1070
WH000605,PRD000605,3481,2604,2061
WH000606,PRD000606,2947,4624,84
WH000607,PRD000607,7831,2179,688
WH000608,PRD000608,908,3806,4901
WH000609,PRD000609,4033,1649,1589
WH000610,PRD000610,7392,3117,721
WH000611,PRD000611,5046,3769,4355
WH000612,PRD000612,7737,4408,4545
WH000613,PRD000613,7327,424,1299
WH000614,PRD000614,3784,1824,1407
WH000615,PRD000615,7844,3128,1521
WH000616,PRD000616,8978,2589,3231
WH000617,PRD000617,371,3364,2926
WH000618,PRD000618,3949,1892,4002
WH000619,PRD000619,6202,3509,946
WH000620,PRD000620,8927,1497,1245
WH000621,PRD000621,1704,4934,3683
WH000622,PRD000622,4435,3298,1782
WH000623,PRD000623,520,2252,994
WH000624,PRD000624,1520,4204,1430
WH000625,PRD000625,6768,1011,4056
WH000626,PRD000626,4146,1759,3445
WH000627,PRD000627,229,1870,3442
WH000628,PRD000628,5294,3199,1685
WH000629,PRD000629,2625,959,4913
WH000630,PRD000630,2844,3921,4180
WH000631,PRD000631,6517,1206,571
WH000632,PRD000632,7143,608,4867
WH000633,PRD000633,623,1351,4907
WH000634,PRD000634,2818,698,809
WH000635,PRD000635,4507,1835,4997
WH000636,PRD000636,8207,3845,1528
WH000637,PRD000637,3950,1346,545
WH000638,PRD000638,2998,871,3965
WH000639,PRD000639,1306,2157,1991
WH000640,PRD000640,6998,4338,2478
WH000641,PRD000641,2819,2285,4662
WH000642,PRD000642,6098,282,955
WH000643,PRD000643,6882,1485,4347
WH000644,PRD000644,5540,2610,3969
WH000645,PRD000645,4136,853,1895
WH000646,PRD000646,8092,902,783
WH000647,PRD000647,9349,2542,3264
WH000648,PRD000648,9587,79,1535
WH000649,PRD000649,5161,3255,1193
WH000650,PRD000650,7023,3145,2302
WH000651,PRD000651,5771,4053,1545
WH000652,PRD000652,7367,3732,1334
WH000653,PRD000653,4052,4179,1746
WH000654,PRD000654,1308,1026,427
WH000655,PRD000655,7931,2307,1763
WH000656,PRD000656,7790,4455,3273
WH000657,PRD000657,9224,447,4591
WH000658,PRD000658,6922,1633,3011
WH000659,PRD000659,5921,2166,2990
WH000660,PRD000660,1853,4362,514
WH000661,PRD000661,5145,4269,4139
WH000662,PRD000662,5070,4422,2864
WH000663,PRD000663,8910,2475,4498
WH000664,PRD000664,6810,1696,4048
WH000665,PRD000665,898,3701,1043
WH000666,PRD000666,4772,2844,3273
WH000667,PRD000667,3994,1154,274
WH000668,PRD000668,9976,333,3783
WH000669,PRD000669,4835,463,3439
WH000670,PRD000670,5126,4224,3862
WH000671,PRD000671,4875,1531,4352
WH000672,PRD000672,6644,2052,1431
WH000673,PRD000673,6487,3237,2871
WH000674,PRD000674,6281,4400,807
WH000675,PRD000675,4394,601,2822
WH000676,PRD000676,7946,3461,88
WH000677,PRD000677,5027,1243,788
WH000678,PRD000678,6288,368,1332
WH000679,PRD000679,6959,50,4076
WH000680,PRD000680,7207,3963,2055
WH000681,PRD000681,2927,3051,786
WH000682,PRD000682,7397,2544,3357
WH000683,PRD000683,7181,2978,14
WH000684,PRD000684,24,1400,882
WH000685,PRD000685,4411,3185,4764
WH000686,PRD000686,7561,3857,354
WH000687,PRD000687,4318,2504,3907
WH000688,PRD000688,6208,2195,2493
WH000689,PRD000689,2783,909,2663
WH000690,PRD000690,5293,2980,4349
WH000691,PRD000691,9343,1029,2537
WH000692,PRD000692,2003,4257,4337
WH000693,PRD000693,4149,1114,2001
WH000694,PRD000694,9098,3271,680
WH000695,PRD000695,9897,4453,3222
WH000696,PRD000696,1202,56,2547
WH000697,PRD000697,4078,3144,2821
WH000698,PRD000698,1107,1715,4003
WH000699,PRD000699,5464,2648,2444
WH000700,PRD000700,6474,2151,1857
WH000701,PRD000701,5899,788,145
WH000702,PRD000702,101,717,1759
WH000703,PRD000703,8223,40,88
WH000704,PRD000704,4529,2901,1263
WH000705,PRD000705,9551,841,3746
WH000706,PRD000706,6809,2531,2363
WH000707,PRD000707,5387,386,4015
WH000708,PRD000708,840,4286,2892
WH000709,PRD000709,8499,1064,2045
WH000710,PRD000710,2954,2512,823
WH000711,PRD000711,7417,4033,2527
WH000712,PRD000712,8240,480,586
WH000713,PRD000713,5580,443,2125
WH000714,PRD000714,8327,480,1281
WH000715,PRD000715,6579,2342,350
