container_id,shipment_id,container_type,status,current_location
CNT000077,SHP000847,Reefer,Delivered,Dubai Port
CNT000078,SHP001474,20ft,Delivered,Lagos Port
CNT000079,SHP000210,20ft,In Transit,Rotterdam Port
CNT000080,SHP001350,40ft,In Transit,Hamburg Port
CNT000081,SHP000800,Reefer,In Transit,Lagos Port
CNT000082,SHP000307,Reefer,Delivered,Rotterdam Port
CNT000083,SHP000600,20ft,In Transit,Singapore Port
CNT000084,SHP001799,20ft,Delayed,Durban Port
CNT000085,SHP002311,20ft,Delayed,Shanghai Port
CNT000086,SHP001074,40ft,In Transit,Rotterdam Port
CNT000087,SHP002508,40ft,Delivered,Singapore Port
CNT000088,SHP002451,Reefer,In Transit,Rotterdam Port
CNT000089,SHP001133,40ft,Delayed,Los Angeles Port
CNT000090,SHP000581,40ft,Delayed,Durban Port
CNT000091,SHP000629,40ft,Delayed,Lagos Port
CNT000092,SHP001353,20ft,In Transit,Lagos Port
CNT000093,SHP001532,Reefer,Delayed,Hamburg Port
CNT000094,SHP001548,Reefer,Delivered,Shanghai Port
CNT000095,SHP000255,40ft,In Transit,Los Angeles Port
CNT000096,SHP000028,20ft,In Transit,Dubai Port
CNT000097,SHP002970,20ft,Delayed,Shanghai Port
CNT000098,SHP001147,Reefer,In Transit,Los Angeles Port
CNT000099,SHP000015,40ft,Delivered,Los Angeles Port
CNT000100,SHP001316,40ft,Delayed,Lagos Port
CNT000101,SHP001034,40ft,In Transit,Los Angeles Port
CNT000102,SHP001578,20ft,In Transit,Dubai Port
CNT000103,SHP000557,Reefer,In Transit,Dubai Port
CNT000104,SHP001075,40ft,In Transit,Lagos Port
CNT000105,SHP002140,Reefer,Delivered,Hamburg Port
CNT000106,SHP001531,20ft,Delivered,Shanghai Port
CNT000107,SHP001985,20ft,Delivered,Rotterdam Port
CNT000108,SHP000399,Reefer,Delivered,Hamburg Port
CNT000109,SHP001049,40ft,Delivered,Durban Port
CNT000110,SHP000165,20ft,Delivered,Los Angeles Port
CNT000111,SHP001692,20ft,Delivered,Durban Port
CNT000112,SHP002074,Reefer,Delivered,Singapore Port
CNT000113,SHP002460,20ft,Delivered,Rotterdam Port
CNT000114,SHP000817,20ft,Delivered,Shanghai Port
CNT000115,SHP002955,Reefer,Delivered,Durban Port
CNT000116,SHP002260,Reefer,In Transit,Dubai Port
CNT000117,SHP000582,20ft,Delivered,Singapore Port
CNT000118,SHP001785,Reefer,Delayed,Dubai Port
CNT000119,SHP001506,20ft,Delivered,Dubai Port
CNT000120,SHP000533,Reefer,In Transit,Singapore Port
CNT000121,SHP000797,20ft,In Transit,Rotterdam Port
CNT000122,SHP001168,Reefer,Delayed,Los Angeles Port
CNT000123,SHP001245,Reefer,Delayed,Los Angeles Port
CNT000124,SHP001311,20ft,Delivered,Shanghai Port
CNT000125,SHP001438,Reefer,In Transit,Durban Port
CNT000126,SHP001490,Reefer,In Transit,Dubai Port
CNT000127,SHP001548,Reefer,In Transit,Durban Port
CNT000128,SHP000783,40ft,In Transit,Los Angeles Port
CNT000129,SHP000724,40ft,Delivered,Durban Port
CNT000130,SHP002595,20ft,In Transit,Rotterdam Port
CNT000131,SHP001908,40ft,In Transit,Dubai Port
CNT000132,SHP000029,Reefer,Delivered,Singapore Port
CNT000133,SHP000528,40ft,Delayed,Durban Port
CNT000134,SHP001207,40ft,In Transit,Singapore Port
CNT000135,SHP001533,Reefer,In Transit,Lagos Port
CNT000136,SHP001219,40ft,Delivered,Los Angeles Port
CNT000137,SHP000047,20ft,Delivered,Los Angeles Port
CNT000138,SHP002056,20ft,Delayed,Lagos Port
CNT000139,SHP002400,40ft,In Transit,Dubai Port
CNT000140,SHP000755,40ft,Delayed,Los Angeles Port
CNT000141,SHP000734,40ft,In Transit,Shanghai Port
CNT000142,SHP002464,20ft,In Transit,Shanghai Port
CNT000143,SHP002466,20ft,Delayed,Durban Port
CNT000144,SHP002253,20ft,Delayed,Durban Port
CNT000145,SHP002785,Reefer,Delivered,Singapore Port
CNT000146,SHP002418,40ft,Delayed,Durban Port
CNT000147,SHP001731,20ft,Delayed,Rotterdam Port
CNT000148,SHP002280,20ft,Delivered,Shanghai Port
CNT000149,SHP000054,20ft,Delayed,Shanghai Port
CNT000150,SHP002867,Reefer,In Transit,Rotterdam Port
CNT000151,SHP001875,40ft,In Transit,Hamburg Port
CNT000152,SHP000493,Reefer,In Transit,Durban Port
CNT000153,SHP000088,40ft,Delivered,Los Angeles Port
CNT000154,SHP002937,Reefer,In Transit,Shanghai Port
CNT000155,SHP001835,20ft,Delayed,Los Angeles Port
CNT000156,SHP002381,40ft,Delivered,Los Angeles Port
CNT000157,SHP002205,20ft,In Transit,Shanghai Port
CNT000158,SHP002165,40ft,In Transit,Singapore Port
CNT000159,SHP000699,40ft,Delivered,Lagos Port
CNT000160,SHP002005,20ft,Delivered,Shanghai Port
CNT000161,SHP002137,20ft,Delayed,Durban Port
CNT000162,SHP000547,20ft,Delivered,Singapore Port
CNT000163,SHP000547,20ft,Delivered,Hamburg Port
CNT000164,SHP000519,40ft,Delivered,Dubai Port
CNT000165,SHP002650,20ft,Delayed,Lagos Port
CNT000166,SHP001374,20ft,Delayed,Durban Port
CNT000167,SHP000555,Reefer,In Transit,Durban Port
CNT000168,SHP001704,40ft,Delayed,Los Angeles Port
CNT000169,SHP001338,40ft,In Transit,Los Angeles Port
CNT000170,SHP002863,Reefer,Delayed,Los Angeles Port
CNT000171,SHP000101,20ft,Delayed,Lagos Port
CNT000172,SHP002961,40ft,In Transit,Rotterdam Port
CNT000173,SHP002968,40ft,In Transit,Singapore Port
CNT000174,SHP000861,40ft,In Transit,Durban Port
CNT000175,SHP002376,Reefer,Delayed,Rotterdam Port
CNT000176,SHP000576,20ft,Delivered,Los Angeles Port
CNT000177,SHP001180,20ft,In Transit,Singapore Port
CNT000178,SHP002187,20ft,In Transit,Durban Port
CNT000179,SHP000703,20ft,Delayed,Singapore Port
CNT000180,SHP000945,Reefer,Delayed,Lagos Port
CNT000181,SHP001868,20ft,Delivered,Lagos Port
CNT000182,SHP002597,Reefer,In Transit,Hamburg Port
CNT000183,SHP000196,20ft,In Transit,Lagos Port
CNT000184,SHP000653,Reefer,Delayed,Hamburg Port
CNT000185,SHP000203,40ft,Delivered,Shanghai Port
CNT000186,SHP000208,20ft,Delivered,Lagos Port
CNT000187,SHP001186,20ft,Delayed,Los Angeles Port
CNT000188,SHP001342,20ft,Delivered,Singapore Port
CNT000189,SHP001440,40ft,Delayed,Lagos Port
CNT000190,SHP001953,40ft,Delayed,Shanghai Port
CNT000191,SHP000811,Reefer,Delivered,Singapore Port
CNT000192,SHP000282,40ft,Delivered,Shanghai Port
CNT000193,SHP001897,40ft,In Transit,Lagos Port
CNT000194,SHP001413,Reefer,Delayed,Rotterdam Port
CNT000195,SHP001999,20ft,Delivered,Singapore Port
CNT000196,SHP001055,20ft,Delivered,Los Angeles Port
CNT000197,SHP000085,20ft,Delayed,Lagos Port
CNT000198,SHP001249,20ft,Delayed,Singapore Port
CNT000199,SHP002676,20ft,Delivered,Durban Port
CNT000200,SHP002582,20ft,Delivered,Rotterdam Port
CNT000201,SHP002672,20ft,Delayed,Shanghai Port
CNT000202,SHP001958,Reefer,In Transit,Rotterdam Port
CNT000203,SHP002362,20ft,Delivered,Shanghai Port
CNT000204,SHP002728,40ft,In Transit,Lagos Port
CNT000205,SHP001496,20ft,Delivered,Hamburg Port
CNT000206,SHP001401,20ft,Delayed,Lagos Port
CNT000207,SHP000840,Reefer,Delivered,Rotterdam Port
CNT000208,SHP001853,40ft,In Transit,Lagos Port
CNT000209,SHP000243,20ft,Delivered,Shanghai Port
CNT000210,SHP002215,Reefer,Delivered,Hamburg Port
CNT000211,SHP002869,40ft,In Transit,Los Angeles Port
CNT000212,SHP000117,40ft,In Transit,Lagos Port
CNT000213,SHP000361,20ft,Delivered,Rotterdam Port
CNT000214,SHP000756,Reefer,Delayed,Rotterdam Port
CNT000215,SHP002885,Reefer,Delivered,Shanghai Port
CNT000216,SHP000064,40ft,Delivered,Shanghai Port
CNT000217,SHP000733,20ft,Delivered,Los Angeles Port
CNT000218,SHP002126,Reefer,Delayed,Rotterdam Port
CNT000219,SHP000206,Reefer,In Transit,Rotterdam Port
CNT000220,SHP002864,Reefer,Delivered,Los Angeles Port
CNT000221,SHP002093,Reefer,Delayed,Rotterdam Port
CNT000222,SHP001260,20ft,Delivered,Los Angeles Port
CNT000223,SHP000934,Reefer,In Transit,Lagos Port
CNT000224,SHP000118,40ft,In Transit,Singapore Port
CNT000225,SHP001126,20ft,Delivered,Hamburg Port
CNT000226,SHP002095,40ft,Delivered,Singapore Port
CNT000227,SHP000163,40ft,Delivered,Shanghai Port
CNT000228,SHP000328,Reefer,Delayed,Durban Port
CNT000229,SHP000138,40ft,In Transit,Singapore Port
CNT000230,SHP001681,20ft,Delivered,Dubai Port
CNT000231,SHP001872,Reefer,In Transit,Los Angeles Port
CNT000232,SHP000191,40ft,Delivered,Durban Port
CNT000233,SHP001146,Reefer,In Transit,Singapore Port
CNT000234,SHP000095,Reefer,Delivered,Rotterdam Port
CNT000235,SHP000436,40ft,Delayed,Dubai Port
CNT000236,SHP000322,Reefer,Delivered,Los Angeles Port
CNT000237,SHP002307,20ft,Delayed,Durban Port
CNT000238,SHP002431,Reefer,Delivered,Hamburg Port
CNT000239,SHP000156,20ft,Delivered,Singapore Port
CNT000240,SHP001756,20ft,Delayed,Los Angeles Port
CNT000241,SHP002616,40ft,Delayed,Rotterdam Port
CNT000242,SHP001862,40ft,Delivered,Lagos Port
CNT000243,SHP000722,20ft,In Transit,Dubai Port
CNT000244,SHP000829,Reefer,In Transit,Lagos Port
CNT000245,SHP001347,Reefer,Delayed,Durban Port
CNT000246,SHP002760,40ft,Delivered,Shanghai Port
CNT000247,SHP002828,Reefer,Delayed,Hamburg Port
CNT000248,SHP002646,Reefer,Delayed,Rotterdam Port
CNT000249,SHP000564,Reefer,Delayed,Rotterdam Port
CNT000250,SHP000797,20ft,Delayed,Hamburg Port
CNT000251,SHP000768,40ft,Delayed,Shanghai Port
CNT000252,SHP000579,Reefer,In Transit,Los Angeles Port
CNT000253,SHP001465,20ft,Delayed,Lagos Port
CNT000254,SHP002902,20ft,Delivered,Hamburg Port
CNT000255,SHP000242,40ft,In Transit,Dubai Port
CNT000256,SHP001182,Reefer,Delayed,Lagos Port
CNT000257,SHP002118,Reefer,Delayed,Shanghai Port
CNT000258,SHP002903,20ft,Delivered,Rotterdam Port
CNT000259,SHP000566,40ft,In Transit,Dubai Port
CNT000260,SHP000833,20ft,Delayed,Los Angeles Port
CNT000261,SHP000131,Reefer,In Transit,Shanghai Port
CNT000262,SHP000517,40ft,Delivered,Lagos Port
CNT000263,SHP002537,Reefer,Delayed,Dubai Port
CNT000264,SHP001103,Reefer,In Transit,Lagos Port
CNT000265,SHP002242,20ft,Delivered,Rotterdam Port
CNT000266,SHP000961,Reefer,Delivered,Durban Port
CNT000267,SHP000914,40ft,In Transit,Hamburg Port
CNT000268,SHP000667,20ft,Delayed,Durban Port
CNT000269,SHP002916,40ft,In Transit,Durban Port
CNT000270,SHP002215,Reefer,In Transit,Singapore Port
CNT000271,SHP001105,40ft,In Transit,Los Angeles Port
CNT000272,SHP001477,20ft,Delivered,Dubai Port
CNT000273,SHP000920,Reefer,In Transit,Los Angeles Port
CNT000274,SHP002349,20ft,Delivered,Durban Port
CNT000275,SHP000755,20ft,In Transit,Shanghai Port
CNT000276,SHP001327,40ft,In Transit,Dubai Port
CNT000277,SHP000150,Reefer,In Transit,Los Angeles Port
CNT000278,SHP001533,20ft,In Transit,Shanghai Port
CNT000279,SHP000451,20ft,In Transit,Lagos Port
CNT000280,SHP000116,20ft,Delivered,Shanghai Port
CNT000281,SHP000393,40ft,Delayed,Shanghai Port
CNT000282,SHP000069,20ft,In Transit,Rotterdam Port
CNT000283,SHP002014,20ft,In Transit,Shanghai Port
CNT000284,SHP000017,20ft,Delayed,Dubai Port
CNT000285,SHP001934,Reefer,Delayed,Hamburg Port
CNT000286,SHP000762,40ft,Delivered,Dubai Port
CNT000287,SHP000553,20ft,In Transit,Dubai Port
CNT000288,SHP000050,Reefer,Delivered,Los Angeles Port
CNT000289,SHP002476,40ft,Delivered,Lagos Port
CNT000290,SHP002394,40ft,Delivered,Rotterdam Port
CNT000291,SHP000141,20ft,In Transit,Durban Port
CNT000292,SHP000519,Reefer,Delayed,Rotterdam Port
CNT000293,SHP001791,40ft,Delivered,Singapore Port
CNT000294,SHP000469,Reefer,Delayed,Hamburg Port
CNT000295,SHP001628,Reefer,Delivered,Lagos Port
CNT000296,SHP001055,Reefer,Delayed,Lagos Port
CNT000297,SHP000551,20ft,Delivered,Dubai Port
CNT000298,SHP001758,Reefer,Delivered,Hamburg Port
CNT000299,SHP000309,Reefer,Delayed,Los Angeles Port
CNT000300,SHP001872,Reefer,Delayed,Singapore Port
CNT000301,SHP001401,20ft,Delayed,Singapore Port
CNT000302,SHP001248,Reefer,Delayed,Rotterdam Port
CNT000303,SHP001969,40ft,Delivered,Dubai Port
CNT000304,SHP001073,20ft,Delayed,Hamburg Port
CNT000305,SHP000741,20ft,Delayed,Hamburg Port
CNT000306,SHP002647,20ft,In Transit,Dubai Port
CNT000307,SHP000048,40ft,In Transit,Singapore Port
CNT000308,SHP000114,20ft,Delivered,Los Angeles Port
CNT000309,SHP000715,40ft,In Transit,Hamburg Port
CNT000310,SHP001494,20ft,Delivered,Durban Port
CNT000311,SHP001452,20ft,Delivered,Hamburg Port
CNT000312,SHP000054,40ft,Delivered,Singapore Port
CNT000313,SHP000992,20ft,Delayed,Singapore Port
CNT000314,SHP001957,40ft,Delayed,Durban Port
CNT000315,SHP002110,Reefer,In Transit,Dubai Port
CNT000316,SHP001778,Reefer,Delivered,Lagos Port
CNT000317,SHP000047,Reefer,Delayed,Lagos Port
CNT000318,SHP001836,20ft,In Transit,Shanghai Port
CNT000319,SHP000673,Reefer,Delivered,Singapore Port
CNT000320,SHP002244,Reefer,Delayed,Lagos Port
CNT000321,SHP002721,40ft,Delayed,Singapore Port
CNT000322,SHP002785,20ft,Delivered,Los Angeles Port
CNT000323,SHP001929,Reefer,In Transit,Durban Port
CNT000324,SHP002368,40ft,Delayed,Durban Port
CNT000325,SHP001920,40ft,Delayed,Los Angeles Port
CNT000326,SHP001340,20ft,In Transit,Hamburg Port
CNT000327,SHP000221,40ft,Delayed,Durban Port
CNT000328,SHP002000,40ft,In Transit,Singapore Port
CNT000329,SHP001765,20ft,In Transit,Singapore Port
CNT000330,SHP002167,20ft,In Transit,Rotterdam Port
CNT000331,SHP000154,20ft,Delivered,Singapore Port
CNT000332,SHP000834,20ft,Delivered,Hamburg Port
CNT000333,SHP001460,Reefer,Delivered,Hamburg Port
CNT000334,SHP000364,20ft,Delayed,Shanghai Port
CNT000335,SHP000726,Reefer,Delivered,Dubai Port
CNT000336,SHP000923,20ft,In Transit,Lagos Port
CNT000337,SHP001744,20ft,Delayed,Lagos Port
CNT000338,SHP001553,20ft,In Transit,Shanghai Port
CNT000339,SHP002855,20ft,Delivered,Lagos Port
CNT000340,SHP000550,40ft,In Transit,Lagos Port
CNT000341,SHP000411,Reefer,In Transit,Los Angeles Port
CNT000342,SHP002071,Reefer,In Transit,Dubai Port
CNT000343,SHP002455,40ft,In Transit,Shanghai Port
CNT000344,SHP002877,40ft,Delayed,Los Angeles Port
CNT000345,SHP002003,20ft,Delivered,Hamburg Port
CNT000346,SHP002221,20ft,Delivered,Rotterdam Port
CNT000347,SHP002491,40ft,Delivered,Shanghai Port
CNT000348,SHP002565,40ft,Delivered,Shanghai Port
CNT000349,SHP001730,Reefer,Delivered,Singapore Port
CNT000350,SHP001391,Reefer,Delivered,Hamburg Port
CNT000351,SHP000463,Reefer,In Transit,Durban Port
CNT000352,SHP002081,Reefer,Delivered,Dubai Port
CNT000353,SHP002595,20ft,Delivered,Durban Port
CNT000354,SHP001908,Reefer,Delayed,Durban Port
CNT000355,SHP001167,Reefer,Delayed,Los Angeles Port
CNT000356,SHP002740,40ft,Delayed,Dubai Port
CNT000357,SHP000986,Reefer,Delivered,Rotterdam Port
CNT000358,SHP000798,20ft,In Transit,Durban Port
CNT000359,SHP000836,20ft,In Transit,Durban Port
CNT000360,SHP000637,20ft,Delivered,Lagos Port
CNT000361,SHP000114,Reefer,Delayed,Hamburg Port
CNT000362,SHP002918,40ft,Delayed,Rotterdam Port
CNT000363,SHP002077,Reefer,In Transit,Dubai Port
CNT000364,SHP002274,Reefer,Delivered,Los Angeles Port
CNT000365,SHP000839,40ft,Delivered,Los Angeles Port
CNT000366,SHP001369,40ft,In Transit,Shanghai Port
CNT000367,SHP000336,20ft,Delivered,Rotterdam Port
CNT000368,SHP000596,Reefer,Delayed,Lagos Port
CNT000369,SHP002966,Reefer,Delayed,Hamburg Port
CNT000370,SHP002334,Reefer,Delivered,Lagos Port
CNT000371,SHP002787,20ft,In Transit,Durban Port
CNT000372,SHP001516,Reefer,Delayed,Hamburg Port
CNT000373,SHP002788,Reefer,Delivered,Rotterdam Port
CNT000374,SHP001205,20ft,Delivered,Dubai Port
CNT000375,SHP002918,Reefer,Delayed,Durban Port
CNT000376,SHP001883,20ft,Delivered,Singapore Port
CNT000377,SHP002579,20ft,Delayed,Lagos Port
CNT000378,SHP001533,Reefer,Delayed,Lagos Port
CNT000379,SHP002854,Reefer,Delivered,Singapore Port
CNT000380,SHP001996,20ft,Delivered,Los Angeles Port
CNT000381,SHP001733,40ft,In Transit,Hamburg Port
CNT000382,SHP001087,40ft,In Transit,Dubai Port
CNT000383,SHP001319,Reefer,Delayed,Dubai Port
CNT000384,SHP001432,40ft,In Transit,Durban Port
CNT000385,SHP000493,20ft,Delayed,Durban Port
CNT000386,SHP000090,Reefer,Delayed,Los Angeles Port
CNT000387,SHP001169,Reefer,In Transit,Los Angeles Port
CNT000388,SHP002134,Reefer,In Transit,Dubai Port
CNT000389,SHP001509,40ft,In Transit,Singapore Port
CNT000390,SHP000817,Reefer,Delayed,Lagos Port
CNT000391,SHP000873,40ft,In Transit,Dubai Port
CNT000392,SHP000447,40ft,Delivered,Shanghai Port
CNT000393,SHP001717,20ft,Delayed,Singapore Port
CNT000394,SHP001131,20ft,Delayed,Lagos Port
CNT000395,SHP001083,40ft,In Transit,Dubai Port
CNT000396,SHP000495,40ft,Delayed,Lagos Port
CNT000397,SHP001452,40ft,In Transit,Rotterdam Port
CNT000398,SHP002901,40ft,In Transit,Los Angeles Port
CNT000399,SHP002769,20ft,Delayed,Lagos Port
CNT000400,SHP002044,20ft,Delayed,Durban Port
CNT000401,SHP001094,40ft,Delayed,Shanghai Port
CNT000402,SHP000763,40ft,In Transit,Rotterdam Port
CNT000403,SHP001906,20ft,Delivered,Dubai Port
CNT000404,SHP000447,20ft,Delayed,Rotterdam Port
CNT000405,SHP002365,40ft,Delayed,Dubai Port
CNT000406,SHP001202,40ft,In Transit,Dubai Port
CNT000407,SHP002520,20ft,Delayed,Singapore Port
CNT000408,SHP002935,20ft,In Transit,Dubai Port
CNT000409,SHP002525,40ft,In Transit,Rotterdam Port
CNT000410,SHP001998,20ft,In Transit,Singapore Port
CNT000411,SHP001741,20ft,Delayed,Durban Port
CNT000412,SHP000418,40ft,In Transit,Singapore Port
CNT000413,SHP000285,20ft,Delivered,Singapore Port
CNT000414,SHP001816,40ft,Delayed,Rotterdam Port
CNT000415,SHP000415,40ft,Delayed,Shanghai Port
CNT000416,SHP002736,20ft,In Transit,Dubai Port
CNT000417,SHP000521,20ft,Delayed,Shanghai Port
CNT000418,SHP000767,Reefer,Delayed,Durban Port
CNT000419,SHP002302,20ft,Delivered,Los Angeles Port
CNT000420,SHP001054,20ft,Delivered,Lagos Port
CNT000421,SHP001963,Reefer,Delayed,Durban Port
CNT000422,SHP001216,Reefer,Delayed,Los Angeles Port
CNT000423,SHP002360,Reefer,In Transit,Singapore Port
CNT000424,SHP001214,Reefer,Delayed,Shanghai Port
CNT000425,SHP001299,Reefer,Delivered,Los Angeles Port
CNT000426,SHP001822,40ft,Delivered,Los Angeles Port
CNT000427,SHP000218,20ft,In Transit,Lagos Port
CNT000428,SHP000507,Reefer,Delivered,Dubai Port
CNT000429,SHP001231,Reefer,Delayed,Shanghai Port
CNT000430,SHP002261,40ft,Delayed,Dubai Port
CNT000431,SHP001164,40ft,Delayed,Dubai Port
CNT000432,SHP002706,Reefer,In Transit,Shanghai Port
CNT000433,SHP000899,40ft,Delayed,Durban Port
CNT000434,SHP000654,Reefer,Delivered,Los Angeles Port
CNT000435,SHP002271,40ft,Delayed,Durban Port
CNT000436,SHP001199,40ft,Delivered,Shanghai Port
CNT000437,SHP001500,40ft,Delivered,Hamburg Port
CNT000438,SHP001425,20ft,In Transit,Rotterdam Port
CNT000439,SHP002800,40ft,In Transit,Durban Port
CNT000440,SHP000361,Reefer,Delayed,Shanghai Port
CNT000441,SHP000095,Reefer,Delivered,Dubai Port
CNT000442,SHP002456,20ft,Delivered,Shanghai Port
CNT000443,SHP001914,40ft,Delivered,Durban Port
CNT000444,SHP001826,20ft,Delayed,Los Angeles Port
CNT000445,SHP002767,40ft,In Transit,Hamburg Port
CNT000446,SHP000075,40ft,Delivered,Dubai Port
CNT000447,SHP000599,40ft,Delivered,Los Angeles Port
CNT000448,SHP002150,40ft,Delivered,Durban Port
CNT000449,SHP000626,Reefer,In Transit,Durban Port
CNT000450,SHP001537,Reefer,Delayed,Dubai Port
CNT000451,SHP002719,40ft,In Transit,Durban Port
CNT000452,SHP001310,20ft,Delivered,Singapore Port
CNT000453,SHP000795,Reefer,Delayed,Los Angeles Port
CNT000454,SHP000134,20ft,In Transit,Rotterdam Port
CNT000455,SHP000558,40ft,Delivered,Rotterdam Port
CNT000456,SHP000416,40ft,Delivered,Hamburg Port
CNT000457,SHP000388,Reefer,Delayed,Dubai Port
CNT000458,SHP002886,40ft,In Transit,Hamburg Port
CNT000459,SHP002101,40ft,Delivered,Los Angeles Port
CNT000460,SHP002725,Reefer,Delivered,Lagos Port
CNT000461,SHP002511,Reefer,Delivered,Singapore Port
CNT000462,SHP002483,Reefer,Delivered,Singapore Port
CNT000463,SHP000202,20ft,Delivered,Durban Port
CNT000464,SHP000266,20ft,Delivered,Shanghai Port
CNT000465,SHP001156,20ft,In Transit,Rotterdam Port
CNT000466,SHP001891,20ft,In Transit,Lagos Port
CNT000467,SHP000888,40ft,Delivered,Rotterdam Port
CNT000468,SHP002197,20ft,Delivered,Shanghai Port
CNT000469,SHP002332,Reefer,Delivered,Rotterdam Port
CNT000470,SHP001297,Reefer,Delivered,Dubai Port
CNT000471,SHP002978,20ft,Delivered,Lagos Port
CNT000472,SHP002967,20ft,In Transit,Durban Port
CNT000473,SHP001603,Reefer,Delayed,Durban Port
CNT000474,SHP001378,20ft,In Transit,Hamburg Port
CNT000475,SHP002158,Reefer,In Transit,Singapore Port
CNT000476,SHP001322,40ft,In Transit,Hamburg Port
CNT000477,SHP000210,40ft,Delayed,Singapore Port
CNT000478,SHP002054,40ft,Delivered,Rotterdam Port
CNT000479,SHP000819,40ft,Delivered,Durban Port
CNT000480,SHP001277,40ft,Delivered,Dubai Port
CNT000481,SHP001697,40ft,In Transit,Lagos Port
CNT000482,SHP000208,40ft,Delayed,Los Angeles Port
