vessel_id,vessel_name,capacity_teu,fuel_consumption_tpd,current_route,status
VSL000203,Maersk Horizon,8875,283.95,RTE001116,Maintenance
VSL000204,Evergreen,18823,117.86,RTE000441,Active
VSL000205,Evergreen,9866,240.41,RTE002986,Active
VSL000206,Evergreen,18603,73.89,RTE000582,Maintenance
VSL000207,Atlantic Carrier,10925,288.83,RTE001072,Active
VSL000208,MSC Aurora,14204,244.81,RTE000396,Maintenance
VSL000209,Oceanic Titan,10262,229.36,RTE002514,Maintenance
VSL000210,Maersk Horizon,1483,236.88,RTE002597,Active
VSL000211,Atlantic Carrier,5506,276.38,RTE001692,Docked
VSL000212,Atlantic Carrier,14798,255.97,RTE001893,Active
VSL000213,Maersk Horizon,6629,210.42,RTE001330,Docked
VSL000214,MSC Aurora,13678,92.63,RTE002732,Docked
VSL000215,Oceanic Titan,5699,253.87,RTE002559,Docked
VSL000216,Evergreen,2812,225.03,RTE000059,Active
VSL000217,Oceanic Titan,5630,294.36,RTE001284,Maintenance
VSL000218,Maersk Horizon,11226,103.82,RTE002044,Docked
VSL000219,Oceanic Titan,1702,274.69,RTE001869,Active
VSL000220,Maersk Horizon,9798,152.89,RTE000945,Active
VSL000221,Atlantic Carrier,6174,60.45,RTE001008,Active
VSL000222,MSC Aurora,18192,86.06,RTE002098,Active
VSL000223,Oceanic Titan,8167,138.31,RTE002177,Maintenance
VSL000224,Evergreen,16124,241.53,RTE000098,Active
VSL000225,Evergreen,16784,293.21,RTE000316,Docked
VSL000226,MSC Aurora,18464,177.44,RTE001497,Docked
VSL000227,Evergreen,8793,210.46,RTE001155,Docked
VSL000228,Maersk Horizon,13604,161.09,RTE000704,Active
VSL000229,Oceanic Titan,18195,178.4,RTE000789,Maintenance
VSL000230,Oceanic Titan,16847,262.95,RTE002471,Active
VSL000231,Oceanic Titan,3414,124.66,RTE000631,Maintenance
VSL000232,Evergreen,10976,281.68,RTE002727,Maintenance
VSL000233,Oceanic Titan,6232,93.3,RTE001409,Maintenance
VSL000234,Atlantic Carrier,16330,201.87,RTE000754,Docked
VSL000235,MSC Aurora,16528,136.8,RTE000907,Maintenance
VSL000236,Atlantic Carrier,5520,197.3,RTE002163,Active
VSL000237,Atlantic Carrier,14014,276.35,RTE001888,Docked
VSL000238,Oceanic Titan,4575,286.56,RTE001608,Docked
VSL000239,Oceanic Titan,14685,181.48,RTE000672,Maintenance
VSL000240,MSC Aurora,13520,112.84,RTE001514,Active
VSL000241,Maersk Horizon,17693,246.17,RTE000010,Active
VSL000242,Evergreen,14757,60.02,RTE000590,Docked
VSL000243,Oceanic Titan,19609,151.22,RTE001767,Maintenance
VSL000244,Evergreen,19244,70.3,RTE000984,Docked
VSL000245,Atlantic Carrier,16754,173.8,RTE002671,Docked
VSL000246,MSC Aurora,5694,260.81,RTE001070,Active
VSL000247,Maersk Horizon,11946,76.08,RTE001591,Active
VSL000248,MSC Aurora,1950,281.83,RTE000776,Docked
VSL000249,Maersk Horizon,3087,268.8,RTE001754,Active
VSL000250,Oceanic Titan,19793,292.94,RTE000441,Active
VSL000251,Atlantic Carrier,15590,220.95,RTE002827,Maintenance
VSL000252,Atlantic Carrier,6015,232.12,RTE000685,Active
VSL000253,MSC Aurora,19555,102.04,RTE000684,Active
VSL000254,Evergreen,11703,230.95,RTE001898,Active
VSL000255,Oceanic Titan,14029,99.53,RTE001719,Active
VSL000256,Oceanic Titan,9625,141.08,RTE002251,Active
VSL000257,Atlantic Carrier,12991,273.03,RTE002585,Maintenance
VSL000258,Oceanic Titan,13201,288.88,RTE000089,Maintenance
VSL000259,Atlantic Carrier,6077,145.04,RTE002140,Active
VSL000260,MSC Aurora,6167,210.38,RTE000711,Docked
VSL000261,Atlantic Carrier,8118,80.46,RTE002721,Docked
VSL000262,Maersk Horizon,5059,210.76,RTE002285,Docked
VSL000263,Atlantic Carrier,11237,139.55,RTE002438,Active
VSL000264,Evergreen,7171,214.01,RTE002403,Active
VSL000265,MSC Aurora,7529,168.05,RTE000594,Docked
VSL000266,Evergreen,7580,82.42,RTE002864,Active
VSL000267,Maersk Horizon,5881,122.69,RTE000895,Docked
VSL000268,MSC Aurora,8412,149.79,RTE002156,Maintenance
VSL000269,MSC Aurora,6994,255.17,RTE002058,Docked
VSL000270,Maersk Horizon,7838,269.27,RTE000040,Maintenance
VSL000271,Maersk Horizon,1123,218.04,RTE002304,Maintenance
VSL000272,Oceanic Titan,15110,207.84,RTE002385,Docked
VSL000273,Evergreen,1176,98.7,RTE001263,Docked
VSL000274,Oceanic Titan,2645,262.18,RTE000969,Maintenance
VSL000275,Atlantic Carrier,14486,289.76,RTE001496,Maintenance
VSL000276,Atlantic Carrier,11955,150.1,RTE001368,Docked
VSL000277,Maersk Horizon,5592,291.76,RTE001041,Active
VSL000278,Atlantic Carrier,12486,231.33,RTE002855,Maintenance
VSL000279,Evergreen,10478,188.65,RTE000765,Maintenance
VSL000280,Evergreen,15459,243.16,RTE001138,Maintenance
VSL000281,Evergreen,14018,81.1,RTE000527,Maintenance
VSL000282,Evergreen,10779,104.61,RTE000783,Docked
VSL000283,MSC Aurora,12579,281.33,RTE002520,Docked
VSL000284,Maersk Horizon,14369,136.49,RTE002844,Docked
VSL000285,Atlantic Carrier,13786,271.98,RTE001780,Active
VSL000286,Maersk Horizon,13348,66.23,RTE000025,Active
VSL000287,Evergreen,14730,241.58,RTE000174,Active
VSL000288,Atlantic Carrier,9239,76.27,RTE000524,Maintenance
VSL000289,Maersk Horizon,3909,50.9,RTE000841,Docked
VSL000290,Atlantic Carrier,15179,293.42,RTE001517,Active
VSL000291,Atlantic Carrier,18332,64.23,RTE001216,Docked
VSL000292,Oceanic Titan,13817,152.92,RTE000247,Maintenance
VSL000293,Atlantic Carrier,4733,210.02,RTE000921,Maintenance
VSL000294,Evergreen,4715,258.41,RTE000587,Active
VSL000295,MSC Aurora,14523,200.64,RTE001194,Docked
VSL000296,Evergreen,3612,83.61,RTE001478,Active
VSL000297,MSC Aurora,11101,118.87,RTE000748,Maintenance
VSL000298,Atlantic Carrier,11419,238.28,RTE001768,Active
VSL000299,Maersk Horizon,2329,297.73,RTE001263,Maintenance
VSL000300,Atlantic Carrier,1598,234.73,RTE002413,Active
VSL000301,MSC Aurora,17235,122.54,RTE001148,Maintenance
VSL000302,MSC Aurora,3356,166.89,RTE000980,Active
VSL000303,Atlantic Carrier,8814,176.39,RTE000066,Docked
VSL000304,Maersk Horizon,2213,193.34,RTE002043,Active
VSL000305,Evergreen,2152,58.71,RTE001061,Maintenance
VSL000306,Atlantic Carrier,7324,158.26,RTE001416,Maintenance
VSL000307,Maersk Horizon,10110,299.09,RTE000145,Maintenance
VSL000308,Evergreen,2892,108.25,RTE001655,Maintenance
VSL000309,Evergreen,18857,273.11,RTE002490,Active
VSL000310,Maersk Horizon,5370,147.75,RTE001781,Maintenance
VSL000311,Oceanic Titan,5943,286.96,RTE002459,Docked
VSL000312,MSC Aurora,1146,176.63,RTE002259,Active
VSL000313,Maersk Horizon,6536,176.85,RTE000036,Maintenance
VSL000314,Oceanic Titan,18800,72.78,RTE001269,Active
VSL000315,MSC Aurora,19303,299.89,RTE002298,Maintenance
VSL000316,Atlantic Carrier,15845,216.47,RTE001544,Docked
VSL000317,Evergreen,18297,52.71,RTE001031,Active
VSL000318,Atlantic Carrier,3735,269.64,RTE001667,Maintenance
VSL000319,Evergreen,1995,137.39,RTE002294,Maintenance
VSL000320,MSC Aurora,8192,121.2,RTE002257,Active
VSL000321,Oceanic Titan,5000,54.39,RTE000965,Maintenance
VSL000322,MSC Aurora,7004,175.06,RTE002990,Maintenance
VSL000323,Maersk Horizon,17120,104.66,RTE002015,Maintenance
VSL000324,Atlantic Carrier,6340,179.58,RTE000182,Maintenance
VSL000325,Oceanic Titan,7045,204.65,RTE001028,Maintenance
VSL000326,Atlantic Carrier,6043,181.65,RTE000495,Docked
VSL000327,Maersk Horizon,9539,285.18,RTE001515,Maintenance
VSL000328,Maersk Horizon,9126,121.31,RTE000313,Maintenance
VSL000329,MSC Aurora,13259,295.29,RTE001730,Docked
VSL000330,Evergreen,3757,50.83,RTE002468,Maintenance
VSL000331,Evergreen,10005,174.58,RTE000064,Docked
VSL000332,Evergreen,13133,130.47,RTE001345,Docked
VSL000333,Maersk Horizon,6938,51.78,RTE001732,Active
VSL000334,Oceanic Titan,17967,152.28,RTE002043,Active
VSL000335,Atlantic Carrier,9160,104.41,RTE000510,Docked
VSL000336,Atlantic Carrier,2055,267.44,RTE001755,Maintenance
VSL000337,MSC Aurora,18838,163.71,RTE001228,Maintenance
VSL000338,MSC Aurora,16175,185.12,RTE001687,Docked
VSL000339,Maersk Horizon,7695,156.9,RTE002143,Docked
VSL000340,Maersk Horizon,19938,140.77,RTE000262,Docked
VSL000341,Maersk Horizon,6007,198.4,RTE002909,Active
VSL000342,Evergreen,10182,208.86,RTE002041,Maintenance
VSL000343,Atlantic Carrier,19105,189.36,RTE002763,Docked
VSL000344,Evergreen,7015,119.58,RTE002718,Docked
VSL000345,MSC Aurora,1948,183.25,RTE000728,Docked
VSL000346,Maersk Horizon,13986,206.59,RTE000998,Docked
VSL000347,Oceanic Titan,14039,145.31,RTE000544,Docked
VSL000348,Maersk Horizon,8844,88.03,RTE000174,Active
VSL000349,Evergreen,19913,280.83,RTE001619,Docked
VSL000350,Maersk Horizon,16884,246.59,RTE001232,Maintenance
VSL000351,Maersk Horizon,2262,84.8,RTE001805,Docked
VSL000352,Evergreen,18185,108.63,RTE002739,Docked
VSL000353,Oceanic Titan,18153,139.72,RTE002693,Maintenance
VSL000354,Oceanic Titan,17842,110.09,RTE000430,Active
VSL000355,Atlantic Carrier,3692,111.5,RTE001174,Maintenance
VSL000356,Maersk Horizon,1753,217.03,RTE001638,Docked
VSL000357,Atlantic Carrier,2788,187.22,RTE002306,Active
VSL000358,MSC Aurora,16681,91.14,RTE000572,Docked
VSL000359,Maersk Horizon,16439,152.78,RTE001760,Maintenance
VSL000360,MSC Aurora,19403,286.16,RTE002041,Active
VSL000361,Oceanic Titan,9450,290.09,RTE001526,Active
VSL000362,Maersk Horizon,19472,58.62,RTE002290,Active
VSL000363,Evergreen,10352,161.35,RTE002458,Active
VSL000364,MSC Aurora,16060,138.05,RTE000149,Docked
VSL000365,Oceanic Titan,16256,163.62,RTE002874,Active
VSL000366,Atlantic Carrier,13226,89.28,RTE000154,Docked
VSL000367,Maersk Horizon,16172,274.53,RTE002525,Maintenance
VSL000368,MSC Aurora,11930,270.05,RTE000253,Maintenance
VSL000369,Oceanic Titan,11676,95.96,RTE001914,Maintenance
VSL000370,Atlantic Carrier,19117,182.71,RTE002650,Active
VSL000371,Oceanic Titan,19626,195.68,RTE001487,Docked
VSL000372,Evergreen,14583,167.94,RTE002162,Active
VSL000373,MSC Aurora,8955,153.29,RTE002691,Maintenance
VSL000374,Maersk Horizon,1830,296.02,RTE000555,Active
VSL000375,Atlantic Carrier,7268,251.7,RTE001144,Active
VSL000376,Evergreen,2544,70.44,RTE001859,Docked
VSL000377,MSC Aurora,14849,186.18,RTE001807,Maintenance
VSL000378,Evergreen,13193,154.39,RTE002679,Maintenance
VSL000379,Maersk Horizon,4709,165.5,RTE002208,Maintenance
VSL000380,Atlantic Carrier,9073,130.61,RTE000769,Maintenance
VSL000381,MSC Aurora,3960,177.38,RTE002335,Active
VSL000382,Atlantic Carrier,6256,166.88,RTE000874,Active
VSL000383,Oceanic Titan,6391,297.15,RTE001576,Docked
VSL000384,Evergreen,6322,115.32,RTE001010,Docked
VSL000385,Oceanic Titan,10277,55.62,RTE001167,Docked
VSL000386,Atlantic Carrier,8463,90.78,RTE000414,Active
VSL000387,Atlantic Carrier,1416,257.6,RTE000264,Active
VSL000388,Evergreen,18605,205.98,RTE000984,Maintenance
VSL000389,Maersk Horizon,4445,274.69,RTE000775,Maintenance
VSL000390,Oceanic Titan,19174,228.26,RTE000428,Docked
VSL000391,Atlantic Carrier,1850,279.8,RTE002750,Maintenance
VSL000392,Maersk Horizon,12826,141.2,RTE001719,Active
VSL000393,Oceanic Titan,11953,191.22,RTE000914,Maintenance
VSL000394,MSC Aurora,7607,98.69,RTE001383,Maintenance
VSL000395,MSC Aurora,2047,196.76,RTE001214,Maintenance
VSL000396,Atlantic Carrier,9240,148.64,RTE000525,Active
VSL000397,Oceanic Titan,19199,85.4,RTE000575,Active
VSL000398,MSC Aurora,10902,236.09,RTE002775,Maintenance
VSL000399,Atlantic Carrier,10401,78.64,RTE002103,Docked
VSL000400,MSC Aurora,4885,88.23,RTE002778,Active
VSL000401,Evergreen,18268,181.82,RTE001512,Maintenance
VSL000402,Oceanic Titan,15163,186.06,RTE002674,Docked
VSL000403,Maersk Horizon,16013,245.83,RTE002347,Maintenance
VSL000404,Oceanic Titan,9075,237.94,RTE000982,Maintenance
VSL000405,Oceanic Titan,1800,193.73,RTE001474,Active
VSL000406,Oceanic Titan,17874,263.47,RTE000552,Maintenance
VSL000407,Evergreen,13494,89.45,RTE002806,Docked
VSL000408,MSC Aurora,19223,294.8,RTE000933,Maintenance
VSL000409,Maersk Horizon,14288,82.86,RTE000377,Docked
VSL000410,Atlantic Carrier,9501,114.05,RTE002636,Maintenance
VSL000411,Evergreen,8264,50.95,RTE001843,Docked
VSL000412,Evergreen,2156,257.36,RTE002580,Docked
VSL000413,MSC Aurora,12646,201.08,RTE002769,Docked
VSL000414,Atlantic Carrier,11033,203.18,RTE001504,Maintenance
VSL000415,Evergreen,5642,265.88,RTE001796,Docked
VSL000416,MSC Aurora,14371,55.2,RTE002392,Active
VSL000417,Maersk Horizon,8264,206.42,RTE000706,Active
VSL000418,Atlantic Carrier,8337,206.57,RTE001096,Maintenance
VSL000419,Oceanic Titan,15924,178.43,RTE000352,Maintenance
VSL000420,Atlantic Carrier,15017,267.3,RTE000105,Maintenance
VSL000421,Maersk Horizon,11255,211.33,RTE001957,Active
VSL000422,MSC Aurora,7237,176.5,RTE002971,Active
VSL000423,Evergreen,8511,64.79,RTE002802,Docked
VSL000424,Atlantic Carrier,3232,108.64,RTE001355,Maintenance
VSL000425,Atlantic Carrier,18293,219.02,RTE002471,Active
VSL000426,Atlantic Carrier,19737,254.54,RTE002140,Maintenance
VSL000427,Evergreen,11881,130.35,RTE001354,Maintenance
VSL000428,Evergreen,9558,79.14,RTE000720,Maintenance
VSL000429,Atlantic Carrier,11048,186.65,RTE002352,Active
VSL000430,Evergreen,8921,110.87,RTE002198,Docked
VSL000431,Evergreen,5860,64.41,RTE002476,Active
VSL000432,Atlantic Carrier,11773,121.43,RTE001032,Active
VSL000433,Oceanic Titan,4954,179.04,RTE000506,Maintenance
VSL000434,Oceanic Titan,11708,217.95,RTE000087,Maintenance
VSL000435,Oceanic Titan,15768,264.64,RTE000361,Docked
VSL000436,Maersk Horizon,10956,119.41,RTE001679,Active
VSL000437,MSC Aurora,10603,126.89,RTE001553,Maintenance
VSL000438,Oceanic Titan,10486,219.86,RTE002772,Active
