route_id,origin_port,destination_port,distance_km,average_time_days,fuel_cost
RTE000071,Singapore Port,Dubai Port,5686,33,10310.66
RTE000072,Hamburg Port,Los Angeles Port,4031,16,33100.44
RTE000073,Dubai Port,Shanghai Port,16181,15,40745.13
RTE000074,Los Angeles Port,Rotterdam Port,11038,21,3338.03
RTE000075,Hamburg Port,Singapore Port,16197,26,38407.41
RTE000076,Durban Port,Los Angeles Port,11400,4,7526.21
RTE000077,Lagos Port,Los Angeles Port,4063,11,38298.12
RTE000078,Hamburg Port,Dubai Port,4970,3,35627.72
RTE000079,Durban Port,Dubai Port,6084,34,10543.97
RTE000080,Dubai Port,Hamburg Port,2968,39,17951.03
RTE000081,Los Angeles Port,Dubai Port,4603,6,38825.37
RTE000082,Shanghai Port,Durban Port,1683,19,47651.4
RTE000083,Shanghai Port,Lagos Port,17627,33,28985.17
RTE000084,Los Angeles Port,Lagos Port,3640,24,46048.53
RTE000085,Los Angeles Port,Shanghai Port,14463,37,23071.14
RTE000086,Lagos Port,Dubai Port,14384,3,1791.67
RTE000087,Los Angeles Port,Hamburg Port,16708,19,13674.36
RTE000088,Dubai Port,Shanghai Port,7104,16,5976.28
RTE000089,Durban Port,Hamburg Port,11199,11,39106.5
RTE000090,Durban Port,Lagos Port,862,31,40405.29
RTE000091,Shanghai Port,Singapore Port,1261,30,21805.49
RTE000092,Lagos Port,Lagos Port,15423,5,16355.21
RTE000093,Lagos Port,Los Angeles Port,2220,36,2585.02
RTE000094,Rotterdam Port,Lagos Port,19282,37,16108.2
RTE000095,Shanghai Port,Shanghai Port,2073,9,42130.0
RTE000096,Hamburg Port,Lagos Port,12231,24,28877.04
RTE000097,Hamburg Port,Shanghai Port,638,25,47544.7
RTE000098,Dubai Port,Shanghai Port,17060,28,21608.01
RTE000099,Los Angeles Port,Hamburg Port,11051,12,31596.97
RTE000100,Shanghai Port,Lagos Port,9808,27,13607.67
RTE000101,Singapore Port,Los Angeles Port,3216,16,33706.77
RTE000102,Rotterdam Port,Rotterdam Port,17730,30,41004.28
RTE000103,Durban Port,Dubai Port,3792,20,3491.43
RTE000104,Rotterdam Port,Rotterdam Port,3335,4,15223.43
RTE000105,Singapore Port,Singapore Port,8458,21,2592.73
RTE000106,Los Angeles Port,Lagos Port,16988,20,25476.94
RTE000107,Hamburg Port,Dubai Port,17183,39,34502.19
RTE000108,Hamburg Port,Los Angeles Port,18610,35,49406.81
RTE000109,Shanghai Port,Singapore Port,13646,32,42712.57
RTE000110,Hamburg Port,Shanghai Port,5060,18,7725.52
RTE000111,Rotterdam Port,Lagos Port,18140,2,47617.25
RTE000112,Lagos Port,Singapore Port,3726,20,31891.85
RTE000113,Los Angeles Port,Rotterdam Port,17265,28,44945.4
RTE000114,Hamburg Port,Shanghai Port,17827,17,38135.71
RTE000115,Hamburg Port,Shanghai Port,14613,8,18641.54
RTE000116,Singapore Port,Dubai Port,18249,37,47357.73
RTE000117,Durban Port,Durban Port,4897,39,44976.38
RTE000118,Hamburg Port,Los Angeles Port,3133,12,2356.93
RTE000119,Hamburg Port,Lagos Port,5217,14,18258.74
RTE000120,Dubai Port,Shanghai Port,8887,37,30271.45
RTE000121,Lagos Port,Singapore Port,13633,4,35225.67
RTE000122,Dubai Port,Hamburg Port,18477,38,39428.32
RTE000123,Hamburg Port,Singapore Port,5578,12,5920.46
RTE000124,Lagos Port,Durban Port,2711,11,31735.81
RTE000125,Shanghai Port,Shanghai Port,1538,19,1819.34
RTE000126,Hamburg Port,Rotterdam Port,8043,21,3359.11
RTE000127,Dubai Port,Hamburg Port,9701,14,44721.0
RTE000128,Lagos Port,Singapore Port,19969,27,49620.31
RTE000129,Rotterdam Port,Durban Port,909,29,27104.99
RTE000130,Singapore Port,Los Angeles Port,3772,8,21019.26
RTE000131,Lagos Port,Hamburg Port,15866,23,11247.35
RTE000132,Hamburg Port,Durban Port,19601,7,34808.28
RTE000133,Hamburg Port,Durban Port,14464,8,11074.44
RTE000134,Durban Port,Los Angeles Port,7980,2,39789.27
RTE000135,Singapore Port,Dubai Port,4715,6,16601.06
RTE000136,Lagos Port,Shanghai Port,16486,16,18998.0
RTE000137,Dubai Port,Durban Port,15430,16,41681.35
RTE000138,Durban Port,Shanghai Port,9404,5,27493.15
RTE000139,Lagos Port,Shanghai Port,14132,30,23364.27
RTE000140,Los Angeles Port,Hamburg Port,8870,20,46080.01
RTE000141,Durban Port,Durban Port,17951,10,33950.38
RTE000142,Durban Port,Lagos Port,14657,9,45816.02
RTE000143,Rotterdam Port,Hamburg Port,18392,25,3900.58
RTE000144,Hamburg Port,Los Angeles Port,6605,38,45920.35
RTE000145,Dubai Port,Hamburg Port,6042,31,49323.38
RTE000146,Hamburg Port,Dubai Port,5814,14,39763.5
RTE000147,Durban Port,Rotterdam Port,3861,3,11073.26
RTE000148,Rotterdam Port,Los Angeles Port,5025,30,43763.79
RTE000149,Rotterdam Port,Lagos Port,12496,7,7883.31
RTE000150,Hamburg Port,Durban Port,15305,3,43945.7
RTE000151,Durban Port,Los Angeles Port,3071,21,44154.52
RTE000152,Shanghai Port,Singapore Port,15703,15,22078.78
RTE000153,Shanghai Port,Los Angeles Port,5146,18,40511.14
RTE000154,Dubai Port,Shanghai Port,9889,27,41997.82
RTE000155,Los Angeles Port,Lagos Port,15867,15,40356.22
RTE000156,Dubai Port,Singapore Port,17533,17,31567.34
RTE000157,Los Angeles Port,Singapore Port,5041,2,43266.36
RTE000158,Los Angeles Port,Rotterdam Port,14801,4,7785.71
RTE000159,Los Angeles Port,Dubai Port,593,24,8830.27
RTE000160,Los Angeles Port,Dubai Port,13437,3,22853.32
RTE000161,Los Angeles Port,Durban Port,16011,21,47070.33
RTE000162,Shanghai Port,Rotterdam Port,2619,16,32440.54
RTE000163,Los Angeles Port,Singapore Port,10954,15,22614.35
RTE000164,Shanghai Port,Shanghai Port,741,7,20871.06
RTE000165,Hamburg Port,Lagos Port,1459,29,9447.33
RTE000166,Singapore Port,Durban Port,7352,13,36257.77
RTE000167,Lagos Port,Rotterdam Port,15842,23,35180.68
RTE000168,Lagos Port,Lagos Port,8390,32,40712.69
RTE000169,Hamburg Port,Shanghai Port,19968,15,2144.87
RTE000170,Shanghai Port,Durban Port,16105,8,39260.73
RTE000171,Hamburg Port,Rotterdam Port,2495,35,6480.18
RTE000172,Hamburg Port,Singapore Port,11972,23,3855.11
RTE000173,Shanghai Port,Hamburg Port,4474,26,44436.64
RTE000174,Rotterdam Port,Lagos Port,11241,15,38124.05
RTE000175,Rotterdam Port,Shanghai Port,15206,37,19815.75
RTE000176,Dubai Port,Dubai Port,16339,35,37255.8
RTE000177,Dubai Port,Rotterdam Port,7404,39,38492.04
RTE000178,Rotterdam Port,Shanghai Port,12692,25,27819.3
RTE000179,Los Angeles Port,Singapore Port,2182,29,20383.93
RTE000180,Hamburg Port,Lagos Port,15814,34,21198.55
RTE000181,Lagos Port,Shanghai Port,4983,13,32607.79
RTE000182,Dubai Port,Shanghai Port,2221,26,23103.54
RTE000183,Hamburg Port,Singapore Port,15690,38,30229.48
RTE000184,Durban Port,Lagos Port,12642,24,17327.99
RTE000185,Durban Port,Singapore Port,18033,39,37573.28
RTE000186,Los Angeles Port,Durban Port,11794,24,17734.25
RTE000187,Durban Port,Rotterdam Port,789,32,45883.88
RTE000188,Los Angeles Port,Dubai Port,7271,18,19501.78
RTE000189,Durban Port,Hamburg Port,10282,13,7816.1
RTE000190,Durban Port,Rotterdam Port,16320,39,12464.35
RTE000191,Shanghai Port,Singapore Port,13696,19,4296.41
RTE000192,Lagos Port,Lagos Port,6915,11,31422.17
RTE000193,Shanghai Port,Shanghai Port,19632,36,38636.75
RTE000194,Rotterdam Port,Singapore Port,1276,33,9469.88
RTE000195,Lagos Port,Rotterdam Port,4785,38,39389.67
RTE000196,Rotterdam Port,Rotterdam Port,10002,12,12757.36
RTE000197,Shanghai Port,Los Angeles Port,1165,21,33822.69
RTE000198,Singapore Port,Lagos Port,5241,8,22022.39
RTE000199,Singapore Port,Shanghai Port,15445,9,15268.17
RTE000200,Dubai Port,Singapore Port,14026,13,41628.07
RTE000201,Rotterdam Port,Singapore Port,19448,16,25916.53
RTE000202,Singapore Port,Singapore Port,7834,31,36212.2
RTE000203,Hamburg Port,Dubai Port,19793,9,10172.38
RTE000204,Los Angeles Port,Rotterdam Port,13960,35,49920.89
RTE000205,Dubai Port,Durban Port,12513,14,20994.53
RTE000206,Singapore Port,Los Angeles Port,7998,25,49018.95
RTE000207,Rotterdam Port,Hamburg Port,12091,34,20989.13
RTE000208,Durban Port,Lagos Port,10821,23,32161.86
RTE000209,Dubai Port,Hamburg Port,7649,27,32753.78
RTE000210,Shanghai Port,Durban Port,4708,37,46847.35
RTE000211,Dubai Port,Rotterdam Port,10792,20,10020.79
RTE000212,Hamburg Port,Hamburg Port,4377,33,41850.22
RTE000213,Rotterdam Port,Rotterdam Port,17739,17,35428.05
RTE000214,Dubai Port,Los Angeles Port,17179,31,16895.64
RTE000215,Durban Port,Los Angeles Port,7126,14,25069.38
RTE000216,Shanghai Port,Los Angeles Port,8121,26,44640.76
RTE000217,Los Angeles Port,Dubai Port,2677,14,37577.28
RTE000218,Durban Port,Dubai Port,6113,34,27660.79
RTE000219,Dubai Port,Dubai Port,3118,13,41284.29
RTE000220,Hamburg Port,Shanghai Port,2857,10,20092.55
RTE000221,Rotterdam Port,Rotterdam Port,15117,17,42279.21
RTE000222,Hamburg Port,Shanghai Port,19559,33,13641.46
RTE000223,Shanghai Port,Lagos Port,7058,27,25020.37
RTE000224,Lagos Port,Dubai Port,2549,25,39487.6
RTE000225,Shanghai Port,Los Angeles Port,12429,10,3290.99
RTE000226,Dubai Port,Hamburg Port,1211,35,36350.09
RTE000227,Hamburg Port,Los Angeles Port,12848,39,6755.98
RTE000228,Lagos Port,Singapore Port,6113,30,34350.66
RTE000229,Hamburg Port,Rotterdam Port,18179,3,30640.94
RTE000230,Shanghai Port,Los Angeles Port,17923,12,20793.76
RTE000231,Shanghai Port,Hamburg Port,13025,2,39832.25
RTE000232,Durban Port,Singapore Port,12724,4,2478.78
RTE000233,Durban Port,Los Angeles Port,11947,13,42994.82
RTE000234,Los Angeles Port,Shanghai Port,6755,12,24839.76
RTE000235,Singapore Port,Los Angeles Port,14892,7,30927.45
RTE000236,Rotterdam Port,Shanghai Port,12125,5,10409.02
RTE000237,Shanghai Port,Dubai Port,2274,36,9284.65
RTE000238,Singapore Port,Lagos Port,9071,11,5910.65
RTE000239,Shanghai Port,Shanghai Port,7048,5,36035.0
RTE000240,Singapore Port,Durban Port,9405,9,37568.52
RTE000241,Singapore Port,Hamburg Port,4871,32,15692.07
RTE000242,Dubai Port,Durban Port,2093,32,24377.27
RTE000243,Singapore Port,Hamburg Port,4598,16,26523.56
RTE000244,Durban Port,Hamburg Port,11012,10,28692.03
RTE000245,Singapore Port,Singapore Port,14871,26,36403.91
RTE000246,Singapore Port,Shanghai Port,16267,22,28481.23
RTE000247,Singapore Port,Rotterdam Port,9801,5,43293.89
RTE000248,Singapore Port,Durban Port,19993,26,9814.07
RTE000249,Rotterdam Port,Durban Port,2190,10,49154.08
RTE000250,Lagos Port,Singapore Port,8662,35,9985.84
RTE000251,Rotterdam Port,Durban Port,5069,39,37282.18
RTE000252,Singapore Port,Dubai Port,14726,10,28855.44
RTE000253,Lagos Port,Los Angeles Port,9857,27,22493.2
RTE000254,Rotterdam Port,Singapore Port,9054,19,32589.76
RTE000255,Lagos Port,Hamburg Port,1055,37,2272.97
RTE000256,Lagos Port,Lagos Port,4053,19,48003.01
RTE000257,Hamburg Port,Rotterdam Port,8206,36,28496.84
RTE000258,Shanghai Port,Dubai Port,13840,23,32200.21
RTE000259,Hamburg Port,Dubai Port,10664,30,48876.85
RTE000260,Dubai Port,Lagos Port,12852,30,16478.53
RTE000261,Shanghai Port,Hamburg Port,4129,12,36010.06
RTE000262,Singapore Port,Rotterdam Port,16851,4,25899.18
RTE000263,Rotterdam Port,Singapore Port,7687,26,9964.89
RTE000264,Rotterdam Port,Durban Port,4498,34,17974.46
RTE000265,Durban Port,Durban Port,19157,20,34681.55
RTE000266,Singapore Port,Dubai Port,18778,17,15348.11
RTE000267,Shanghai Port,Lagos Port,6768,16,13412.72
RTE000268,Dubai Port,Lagos Port,17521,4,47531.46
RTE000269,Singapore Port,Los Angeles Port,7488,17,15575.68
RTE000270,Los Angeles Port,Rotterdam Port,5165,25,3344.62
RTE000271,Lagos Port,Lagos Port,12322,27,20310.34
RTE000272,Dubai Port,Dubai Port,2315,16,10975.73
RTE000273,Rotterdam Port,Rotterdam Port,15311,32,23220.91
RTE000274,Los Angeles Port,Dubai Port,14200,19,33741.85
RTE000275,Singapore Port,Rotterdam Port,10999,7,1441.3
RTE000276,Shanghai Port,Hamburg Port,4365,28,5997.66
RTE000277,Singapore Port,Durban Port,6687,7,15685.98
RTE000278,Singapore Port,Los Angeles Port,14150,32,45702.86
RTE000279,Durban Port,Rotterdam Port,2749,26,17066.77
RTE000280,Los Angeles Port,Durban Port,988,33,44158.93
RTE000281,Los Angeles Port,Los Angeles Port,5126,14,20478.0
RTE000282,Singapore Port,Hamburg Port,9488,37,3994.9
RTE000283,Rotterdam Port,Rotterdam Port,12596,2,21900.65
RTE000284,Rotterdam Port,Los Angeles Port,6243,26,15283.71
RTE000285,Singapore Port,Dubai Port,12843,26,42826.29
RTE000286,Lagos Port,Hamburg Port,16229,9,43131.98
RTE000287,Lagos Port,Dubai Port,19069,26,42992.35
RTE000288,Dubai Port,Rotterdam Port,17184,20,17461.77
RTE000289,Rotterdam Port,Dubai Port,5863,6,25661.23
RTE000290,Singapore Port,Lagos Port,16396,22,15932.69
RTE000291,Los Angeles Port,Rotterdam Port,5628,7,29567.23
RTE000292,Los Angeles Port,Lagos Port,16511,36,44719.65
RTE000293,Lagos Port,Durban Port,18458,23,18087.19
RTE000294,Rotterdam Port,Dubai Port,16138,10,7983.7
RTE000295,Lagos Port,Rotterdam Port,9465,25,15262.68
RTE000296,Rotterdam Port,Rotterdam Port,4324,28,9138.32
RTE000297,Los Angeles Port,Hamburg Port,16149,26,13810.93
RTE000298,Lagos Port,Hamburg Port,19171,24,30515.64
RTE000299,Hamburg Port,Singapore Port,12651,33,29028.73
RTE000300,Rotterdam Port,Shanghai Port,17087,34,33443.62
RTE000301,Los Angeles Port,Hamburg Port,16766,14,42195.38
RTE000302,Lagos Port,Dubai Port,9195,3,35967.08
RTE000303,Rotterdam Port,Singapore Port,10508,35,5382.37
RTE000304,Shanghai Port,Los Angeles Port,16433,29,1695.55
RTE000305,Lagos Port,Hamburg Port,14262,34,32449.42
RTE000306,Los Angeles Port,Dubai Port,2926,21,7993.1
RTE000307,Lagos Port,Dubai Port,16458,8,3031.52
RTE000308,Shanghai Port,Rotterdam Port,17114,4,39523.13
RTE000309,Dubai Port,Hamburg Port,5593,29,46164.17
RTE000310,Shanghai Port,Los Angeles Port,8198,7,30758.31
RTE000311,Shanghai Port,Hamburg Port,11654,3,37553.32
RTE000312,Shanghai Port,Singapore Port,14836,38,31956.24
RTE000313,Hamburg Port,Lagos Port,13611,21,7766.95
RTE000314,Rotterdam Port,Dubai Port,12398,38,7025.9
RTE000315,Hamburg Port,Lagos Port,10381,31,1586.63
RTE000316,Shanghai Port,Hamburg Port,1740,26,6427.27
RTE000317,Lagos Port,Dubai Port,18920,2,9307.74
RTE000318,Los Angeles Port,Singapore Port,14146,2,20002.65
RTE000319,Hamburg Port,Durban Port,12083,12,41521.42
RTE000320,Los Angeles Port,Dubai Port,3236,26,4345.36
RTE000321,Lagos Port,Singapore Port,8174,30,25958.13
RTE000322,Los Angeles Port,Shanghai Port,16786,19,38859.5
RTE000323,Hamburg Port,Singapore Port,12813,13,39243.47
RTE000324,Hamburg Port,Los Angeles Port,6098,5,9719.3
RTE000325,Singapore Port,Los Angeles Port,17236,27,18959.86
RTE000326,Hamburg Port,Shanghai Port,15996,15,3582.36
RTE000327,Hamburg Port,Shanghai Port,13487,27,26242.67
RTE000328,Hamburg Port,Dubai Port,17348,32,25587.24
RTE000329,Los Angeles Port,Singapore Port,9019,4,39258.32
RTE000330,Durban Port,Rotterdam Port,544,31,4248.3
RTE000331,Hamburg Port,Singapore Port,1705,34,40083.98
RTE000332,Rotterdam Port,Shanghai Port,11537,2,25541.56
RTE000333,Shanghai Port,Los Angeles Port,5337,20,30001.27
RTE000334,Singapore Port,Hamburg Port,13812,29,48565.76
RTE000335,Singapore Port,Lagos Port,15266,8,22018.5
RTE000336,Lagos Port,Hamburg Port,11423,19,29388.09
RTE000337,Hamburg Port,Los Angeles Port,4162,25,14342.53
RTE000338,Dubai Port,Lagos Port,3245,23,10809.81
RTE000339,Hamburg Port,Dubai Port,8092,3,15160.84
RTE000340,Lagos Port,Shanghai Port,17311,3,48964.52
RTE000341,Durban Port,Dubai Port,6324,33,32562.01
RTE000342,Rotterdam Port,Los Angeles Port,16553,37,37237.21
RTE000343,Los Angeles Port,Rotterdam Port,7191,34,49661.24
RTE000344,Los Angeles Port,Lagos Port,1861,26,10381.52
RTE000345,Singapore Port,Rotterdam Port,18294,37,13036.37
RTE000346,Los Angeles Port,Los Angeles Port,2830,30,30229.76
RTE000347,Lagos Port,Singapore Port,8851,2,37764.35
RTE000348,Singapore Port,Dubai Port,17903,18,2338.37
RTE000349,Shanghai Port,Durban Port,16846,34,35529.17
RTE000350,Hamburg Port,Hamburg Port,17733,22,49886.68
RTE000351,Los Angeles Port,Durban Port,19249,26,8272.59
RTE000352,Shanghai Port,Lagos Port,14204,30,39743.93
RTE000353,Dubai Port,Hamburg Port,10517,20,14881.06
RTE000354,Singapore Port,Shanghai Port,4353,14,32879.75
RTE000355,Los Angeles Port,Rotterdam Port,18135,11,32433.67
RTE000356,Durban Port,Rotterdam Port,18084,6,12549.24
RTE000357,Dubai Port,Durban Port,8127,25,40831.04
RTE000358,Lagos Port,Hamburg Port,15164,22,4739.7
RTE000359,Lagos Port,Los Angeles Port,1699,4,35842.72
RTE000360,Los Angeles Port,Hamburg Port,18681,33,8920.28
RTE000361,Singapore Port,Shanghai Port,582,2,34545.81
RTE000362,Rotterdam Port,Dubai Port,1154,14,21248.6
RTE000363,Rotterdam Port,Los Angeles Port,13248,9,5906.03
RTE000364,Durban Port,Lagos Port,1063,26,13039.44
RTE000365,Singapore Port,Shanghai Port,3071,23,4937.3
RTE000366,Shanghai Port,Lagos Port,19335,19,45671.92
RTE000367,Dubai Port,Shanghai Port,10065,21,22091.23
RTE000368,Hamburg Port,Shanghai Port,7361,7,27435.95
RTE000369,Hamburg Port,Singapore Port,19317,37,14075.39
RTE000370,Shanghai Port,Rotterdam Port,15680,19,9756.0
RTE000371,Singapore Port,Lagos Port,15413,5,45552.6
RTE000372,Dubai Port,Lagos Port,16459,31,46061.77
RTE000373,Dubai Port,Rotterdam Port,13402,4,29738.47
RTE000374,Dubai Port,Rotterdam Port,5137,23,45730.89
RTE000375,Singapore Port,Durban Port,1391,10,46192.19
RTE000376,Shanghai Port,Dubai Port,11021,12,24262.46
RTE000377,Singapore Port,Hamburg Port,11556,38,14888.5
RTE000378,Los Angeles Port,Durban Port,15826,30,47493.59
RTE000379,Lagos Port,Dubai Port,3587,26,6707.38
RTE000380,Los Angeles Port,Durban Port,1880,4,23691.91
RTE000381,Dubai Port,Durban Port,12759,34,15610.42
RTE000382,Singapore Port,Dubai Port,3550,16,44170.1
RTE000383,Los Angeles Port,Singapore Port,14624,4,21026.67
RTE000384,Rotterdam Port,Dubai Port,8296,27,44840.82
RTE000385,Shanghai Port,Hamburg Port,13862,34,15181.26
RTE000386,Dubai Port,Lagos Port,11431,30,26413.3
RTE000387,Durban Port,Dubai Port,8604,22,44635.54
RTE000388,Lagos Port,Shanghai Port,17013,21,47484.18
RTE000389,Los Angeles Port,Durban Port,18052,26,21705.56
RTE000390,Los Angeles Port,Singapore Port,13326,33,27778.28
RTE000391,Durban Port,Lagos Port,9701,22,21236.0
RTE000392,Singapore Port,Hamburg Port,988,31,38796.04
RTE000393,Lagos Port,Rotterdam Port,11811,21,40287.86
RTE000394,Singapore Port,Rotterdam Port,2014,8,35841.22
RTE000395,Shanghai Port,Shanghai Port,18122,6,14257.78
RTE000396,Dubai Port,Rotterdam Port,6153,8,49627.19
RTE000397,Dubai Port,Shanghai Port,6167,6,7536.34
RTE000398,Durban Port,Lagos Port,3162,35,8858.52
RTE000399,Los Angeles Port,Rotterdam Port,12025,39,26849.61
RTE000400,Durban Port,Lagos Port,9436,28,35413.77
RTE000401,Shanghai Port,Dubai Port,8430,15,46622.07
RTE000402,Lagos Port,Shanghai Port,6088,4,26864.14
RTE000403,Hamburg Port,Rotterdam Port,17269,15,16314.34
RTE000404,Singapore Port,Durban Port,11096,7,11282.81
RTE000405,Hamburg Port,Singapore Port,16759,16,49792.48
RTE000406,Hamburg Port,Shanghai Port,2805,11,43721.99
RTE000407,Hamburg Port,Rotterdam Port,9652,23,28148.17
RTE000408,Dubai Port,Rotterdam Port,14351,23,21764.8
RTE000409,Lagos Port,Hamburg Port,8604,36,14810.04
RTE000410,Los Angeles Port,Durban Port,7630,5,39756.85
RTE000411,Hamburg Port,Durban Port,2575,22,44141.58
RTE000412,Singapore Port,Durban Port,18958,28,7804.51
RTE000413,Hamburg Port,Singapore Port,11821,35,34474.14
RTE000414,Durban Port,Dubai Port,3192,9,42733.02
RTE000415,Durban Port,Singapore Port,4737,9,37892.17
RTE000416,Hamburg Port,Lagos Port,14069,35,27473.12
RTE000417,Dubai Port,Dubai Port,5539,34,30785.34
RTE000418,Hamburg Port,Los Angeles Port,15199,37,42114.07
RTE000419,Durban Port,Shanghai Port,16296,38,12192.67
RTE000420,Hamburg Port,Singapore Port,15005,6,26998.39
RTE000421,Dubai Port,Shanghai Port,11872,36,10281.87
RTE000422,Singapore Port,Dubai Port,14937,12,28592.13
RTE000423,Hamburg Port,Rotterdam Port,1061,25,24277.5
RTE000424,Los Angeles Port,Shanghai Port,12088,29,31584.06
RTE000425,Durban Port,Hamburg Port,11375,3,45328.66
RTE000426,Shanghai Port,Durban Port,14690,16,45459.99
RTE000427,Rotterdam Port,Lagos Port,19419,2,41967.33
RTE000428,Dubai Port,Dubai Port,16422,5,5369.51
RTE000429,Rotterdam Port,Hamburg Port,15925,8,23936.88
RTE000430,Rotterdam Port,Singapore Port,19362,29,27695.28
RTE000431,Durban Port,Los Angeles Port,11278,26,11568.19
RTE000432,Rotterdam Port,Rotterdam Port,3492,22,35841.63
RTE000433,Dubai Port,Lagos Port,10486,30,45920.36
RTE000434,Shanghai Port,Singapore Port,14329,38,9680.05
RTE000435,Dubai Port,Durban Port,2192,29,23602.17
RTE000436,Lagos Port,Singapore Port,11986,30,21049.53
RTE000437,Dubai Port,Rotterdam Port,7416,29,47863.26
RTE000438,Dubai Port,Singapore Port,4325,12,48678.57
RTE000439,Dubai Port,Durban Port,18060,25,2491.78
RTE000440,Shanghai Port,Los Angeles Port,18986,5,48732.9
RTE000441,Singapore Port,Singapore Port,7295,18,40541.05
RTE000442,Dubai Port,Hamburg Port,5575,36,39080.81
RTE000443,Lagos Port,Rotterdam Port,9473,4,5337.3
RTE000444,Lagos Port,Rotterdam Port,12418,24,17913.62
RTE000445,Dubai Port,Lagos Port,16963,10,5394.53
