date,fuel_price,region
2023-11-14,698.44,Asia
2024-02-19,447.9,Americas
2022-09-04,346.25,Europe
2022-06-13,387.8,Europe
2022-08-07,850.16,Africa
2023-06-03,856.36,Americas
2024-12-18,306.66,Europe
2022-03-22,849.68,Europe
2024-09-28,715.87,Asia
2022-07-12,434.29,Africa
2024-08-31,304.22,Africa
2024-08-27,598.31,Americas
2022-03-01,709.43,Africa
2022-04-04,548.08,Americas
2022-05-18,735.29,Europe
2022-04-19,401.97,Asia
2023-11-16,396.62,Europe
2023-12-10,884.7,Africa
2024-04-11,359.24,Africa
2024-05-04,727.97,Europe
2022-03-27,422.58,Africa
2023-03-25,864.01,Americas
2023-03-29,524.38,Americas
2024-03-21,356.67,Americas
2023-10-03,868.96,Asia
2024-05-29,511.48,Europe
2022-08-11,599.35,Europe
2024-01-21,638.65,Asia
2024-12-21,494.24,Europe
2023-11-16,399.2,Asia
2022-02-21,590.29,Asia
2024-12-14,641.47,Asia
2023-09-17,329.18,Americas
2023-02-08,697.34,Europe
2024-07-22,852.83,Europe
2024-01-25,441.53,Asia
2023-04-19,843.83,Americas
2023-03-16,426.68,Americas
2022-08-01,549.44,Americas
2022-06-11,322.09,Europe
2024-02-15,653.49,Asia
2024-07-04,738.85,Europe
2023-07-10,379.41,Europe
2022-12-31,500.5,Africa
2022-10-18,756.87,Europe
2023-06-10,749.54,Americas
2023-10-11,316.22,Africa
2022-09-12,352.99,Europe
2023-08-11,456.57,Asia
2024-10-06,347.23,Europe
2023-04-26,547.25,Europe
2024-11-02,791.43,Africa
2024-07-01,868.24,Americas
2023-05-25,797.38,Europe
2022-02-24,732.56,Asia
2022-03-20,307.31,Asia
2022-05-03,742.07,Americas
2023-04-22,673.67,Americas
2022-09-12,530.75,Europe
2022-10-25,833.28,Africa
2022-06-21,730.21,Asia
2023-10-17,823.64,Europe
2024-10-06,648.4,Europe
2024-09-06,654.9,Europe
2023-08-12,425.99,Americas
2023-10-19,716.75,Africa
2023-02-24,379.09,Americas
2023-10-30,736.31,Europe
2022-12-27,805.21,Asia
2023-02-16,584.4,Europe
2024-08-23,328.85,Asia
2023-02-17,875.64,Europe
2023-03-28,872.13,Americas
2022-02-08,796.52,Europe
2023-07-30,662.88,Asia
2024-12-23,676.98,Africa
2023-12-28,533.55,Asia
2024-09-28,745.86,Africa
2022-12-04,539.55,Americas
2022-12-02,330.39,Americas
2024-02-22,343.12,Europe
2023-11-10,385.73,Americas
2024-12-13,394.78,Europe
2024-09-29,787.78,Africa
2022-08-17,305.43,Americas
2022-06-12,418.47,Europe
2023-12-17,735.79,Asia
2022-02-11,758.45,Asia
2023-09-21,363.3,Americas
2023-02-24,586.5,Africa
2022-10-11,747.35,Americas
2023-10-08,528.38,Africa
2024-01-15,453.98,Africa
2022-06-09,317.99,Americas
2023-08-04,527.49,Americas
2024-03-09,465.51,Americas
2024-09-21,864.05,Europe
2024-10-17,622.39,Asia
2023-03-01,717.59,Asia
2023-10-08,523.94,Asia
2024-08-30,751.16,Africa
2022-10-03,468.89,Americas
2024-12-10,512.9,Europe
2022-03-30,667.5,Americas
2023-01-13,628.17,Americas
2024-12-02,390.36,Africa
2024-01-10,505.81,Africa
2022-01-23,808.02,Africa
2022-08-14,804.17,Asia
2022-08-24,312.98,Africa
2023-01-20,772.33,Asia
2022-06-16,679.29,Africa
2022-08-28,502.65,Asia
2023-09-30,486.24,Asia
2024-05-31,889.83,Europe
2024-10-09,535.39,Europe
2022-10-03,689.95,Americas
2022-07-07,556.35,Asia
2022-11-21,843.46,Africa
2024-07-29,820.87,Americas
2023-09-01,782.15,Africa
2023-09-30,838.09,Europe
2023-01-03,613.75,Asia
2022-09-17,839.43,Africa
2024-10-14,454.74,Americas
2023-08-03,694.02,Americas
2022-08-26,505.65,Africa
2024-12-25,717.15,Asia
2024-07-26,814.47,Africa
2023-11-03,711.86,Americas
2022-03-04,799.15,Asia
2024-05-24,444.55,Africa
2022-09-19,739.86,Asia
2023-04-30,463.11,Asia
2022-06-02,548.24,Americas
2022-07-16,680.44,Americas
2023-03-03,890.04,Europe
2023-03-08,467.0,Africa
2024-08-12,868.64,Asia
2024-09-19,462.73,Americas
2022-05-21,784.18,Europe
2022-01-30,889.57,Americas
2023-07-12,454.59,Europe
2024-10-07,819.31,Americas
2023-02-07,509.5,Africa
2024-05-29,421.88,Europe
2023-10-03,397.09,Asia
2024-03-08,401.64,Europe
2023-07-29,717.84,Africa
2024-09-04,381.0,Americas
2022-04-03,360.57,Europe
2022-10-23,628.98,Asia
2024-08-04,489.51,Africa
2023-12-23,866.36,Asia
2023-02-02,507.35,Americas
2024-10-13,870.06,Asia
2022-03-21,627.53,Americas
2024-05-19,490.84,Europe
2023-02-10,328.13,Asia
2023-07-23,667.75,Europe
2022-12-28,562.51,Africa
2023-04-29,428.21,Europe
2022-12-11,542.62,Asia
2023-05-01,762.17,Africa
2024-05-24,643.49,Americas
2022-05-24,636.93,Americas
2022-10-01,362.36,Asia
2023-04-16,786.32,Europe
2022-05-04,575.07,Europe
2022-10-25,424.72,Asia
2023-04-26,686.63,Africa
2022-09-14,451.66,Asia
2023-06-27,441.36,Asia
2024-12-27,510.45,Asia
2023-03-11,504.23,Asia
2022-09-12,538.02,Asia
2023-08-11,507.09,Americas
2022-01-12,687.44,Americas
2024-11-04,864.56,Africa
2023-01-09,824.83,Asia
2024-11-10,397.22,Europe
2022-10-29,682.63,Africa
2022-03-09,697.72,Africa
2023-04-22,554.37,Africa
2023-02-16,841.0,Americas
2022-04-26,580.25,Americas
2022-06-14,574.48,Africa
2023-09-25,794.72,Africa
2023-10-30,701.07,Africa
2023-11-05,561.11,Europe
2023-03-31,749.15,Africa
2022-03-16,409.08,Asia
2023-05-31,689.56,Africa
2022-04-10,372.82,Americas
2023-10-08,751.71,Europe
2024-03-15,517.38,Asia
2023-11-12,858.0,Asia
2023-01-11,550.96,Americas
2024-06-20,718.82,Asia
2024-11-23,673.6,Asia
2022-11-07,439.55,Europe
2023-12-14,395.61,Asia
2023-01-17,343.48,Africa
2022-12-16,392.75,Asia
2023-09-01,445.31,Europe
2024-01-28,531.31,Africa
2024-02-28,754.17,Africa
2023-11-19,420.62,Europe
2024-10-08,544.68,Asia
2022-04-11,321.46,Americas
2024-10-09,355.8,Europe
2022-07-11,870.56,Europe
2022-08-13,889.13,Americas
2024-05-17,765.87,Europe
2024-12-13,413.3,Americas
2022-09-07,813.42,Asia
2024-10-20,343.49,Asia
2022-08-27,674.4,Africa
2023-11-30,650.32,Africa
2024-04-09,402.26,Europe
2022-04-07,446.95,Europe
2023-04-11,519.21,Asia
2023-02-24,704.04,Americas
2023-06-17,801.68,Africa
2022-12-12,707.2,Asia
2024-06-10,466.61,Asia
2023-04-14,708.49,Americas
2022-07-18,854.7,Americas
2023-06-04,825.25,Asia
2023-01-21,892.89,Asia
2024-05-25,682.95,Asia
2023-11-13,487.74,Asia
2023-08-08,468.28,Asia
2023-03-29,749.18,Asia
2024-03-05,688.52,Europe
2024-11-27,803.39,Asia
2022-12-14,487.37,Asia
2024-01-01,487.99,Africa
2024-05-29,769.61,Asia
2023-10-30,717.77,Africa
2023-08-09,608.62,Africa
2023-10-06,874.15,Europe
2024-11-04,677.93,Asia
2024-04-30,417.85,Americas
2024-07-22,468.07,Europe
2022-03-20,361.44,Europe
2024-08-06,526.96,Asia
2023-03-03,485.32,Americas
2022-04-17,891.43,Europe
2024-02-17,513.86,Europe
2023-06-23,314.34,Asia
2022-05-07,870.51,Asia
2022-06-22,503.01,Americas
2022-09-29,848.32,Americas
2022-05-02,633.5,Africa
2022-09-25,848.65,Africa
2023-01-29,514.08,Europe
2022-10-30,534.55,Asia
2024-11-04,475.3,Asia
2023-04-02,377.65,Americas
2024-01-10,732.82,Americas
2022-09-10,767.28,Europe
2022-05-16,405.89,Asia
2024-05-15,445.21,Europe
2023-02-24,705.63,Africa
2023-11-29,558.39,Africa
2023-07-30,388.44,Europe
2023-09-25,665.37,Asia
2023-07-21,857.77,Europe
2024-02-16,435.0,Europe
2022-08-17,873.11,Europe
2024-04-21,402.1,Africa
2023-10-12,409.28,Africa
2024-01-22,736.83,Americas
2022-12-19,475.57,Americas
2022-08-17,315.08,Americas
2022-05-10,459.3,Americas
2024-07-25,438.75,Africa
2023-10-12,882.92,Americas
2024-01-25,597.82,Africa
2024-04-20,619.39,Europe
2024-07-30,856.14,Africa
2022-08-14,642.43,Africa
2024-11-18,611.8,Americas
2023-08-06,440.56,Americas
2023-08-26,692.36,Africa
2023-02-02,440.97,Africa
2024-03-20,698.65,Africa
2022-10-13,655.83,Africa
2022-06-01,675.17,Africa
2024-05-18,454.44,Asia
2023-04-26,363.44,Europe
2023-08-09,857.45,Africa
2024-10-09,406.26,Americas
2023-03-18,819.77,Europe
2023-10-01,896.91,Africa
2024-01-02,877.0,Africa
2022-10-20,392.11,Africa
2022-07-01,485.0,Africa
2023-06-28,547.39,Asia
2024-04-13,569.33,Americas
2024-05-25,448.11,Americas
2023-02-28,304.03,Americas
2023-02-21,579.98,Asia
2024-06-14,744.3,Asia
2022-08-26,515.39,Asia
2022-05-20,744.38,Americas
2024-05-17,329.33,Asia
2023-10-23,421.53,Africa
2024-03-30,331.35,Americas
2022-11-05,326.53,Europe
2022-12-31,338.56,Americas
2024-01-31,399.22,Asia
2024-07-31,528.9,Asia
2023-07-18,870.48,Americas
2023-05-29,530.17,Africa
2023-04-10,365.66,Americas
2023-06-09,330.18,Asia
2022-05-10,663.39,Americas
2022-09-08,800.53,Asia
2023-07-23,542.83,Africa
2022-03-18,770.43,Asia
2022-01-29,518.61,Asia
2023-02-19,688.46,Americas
2022-10-08,864.96,Africa
2023-11-01,821.35,Asia
2022-10-21,814.95,Africa
2024-02-14,453.85,Africa
2022-03-26,683.52,Americas
2023-03-25,811.89,Europe
2024-11-29,534.35,Americas
2023-03-09,478.11,Americas
2024-08-22,724.32,Asia
2022-02-04,830.31,Europe
2022-01-28,863.93,Asia
2024-09-12,648.19,Africa
2023-08-08,504.49,Europe
2022-02-10,411.72,Asia
2023-11-16,563.23,Africa
2022-05-06,860.63,Africa
2022-12-15,516.49,Americas
2023-07-10,327.06,Africa
2023-12-24,479.69,Asia
2023-07-05,502.89,Americas
2022-08-24,366.74,Americas
2022-04-10,837.53,Americas
2022-05-25,574.32,Africa
2022-12-16,410.47,Asia
2022-04-22,809.09,Africa
2024-06-10,478.66,Americas
2023-01-28,394.85,Americas
2024-11-04,419.92,Africa
2023-07-09,521.11,Africa
2023-04-12,765.25,Americas
2024-08-13,675.32,Asia
2024-09-25,412.12,Europe
2024-01-08,689.15,Europe
2024-06-27,639.79,Africa
2024-11-12,485.29,Europe
2024-01-31,781.08,Africa
2023-02-06,471.26,Americas
2022-11-17,517.06,Africa
2024-05-04,446.83,Europe
2024-11-07,342.76,Europe
2024-02-18,838.53,Asia
2022-04-20,314.88,Africa
2022-10-02,519.56,Europe
2024-06-26,697.7,Asia
2022-02-24,570.34,Americas
2022-10-03,830.66,Europe
2022-12-31,409.7,Europe
2022-07-17,849.21,Asia
2024-04-18,335.84,Africa
2023-11-15,847.2,Europe
2023-07-27,848.13,Africa
2023-03-31,534.18,Americas
2022-01-26,645.09,Americas
2023-05-10,425.4,Americas
2024-03-04,635.13,Africa
2022-03-27,376.98,Americas
2024-12-15,428.3,Americas
2023-03-02,667.19,Americas
2024-05-16,887.86,Europe
2023-04-26,783.57,Africa
2023-05-04,623.09,Africa
2022-03-11,818.59,Asia
2023-05-27,329.01,Americas
2022-09-04,382.38,Africa
2024-01-05,400.45,Europe
2024-11-10,339.57,Africa
2024-04-19,324.21,Europe
2024-02-08,749.08,Americas
2024-10-16,383.98,Asia
2024-06-13,372.6,Europe
2023-08-08,339.71,Americas
2024-05-11,898.61,Europe
2022-02-27,376.88,Asia
2022-12-31,389.73,Asia
2024-12-29,830.3,Americas
2023-09-08,430.67,Africa
2022-08-08,587.24,Africa
2022-01-18,665.23,Europe
2022-08-08,546.61,Americas
2023-10-31,557.66,Americas
2024-10-28,876.37,Asia
2022-12-29,797.93,Europe
2023-05-11,463.86,Africa
2023-05-16,843.6,Europe
2022-07-24,656.05,Americas
2024-01-10,603.71,Africa
2024-10-12,840.34,Asia
2022-01-23,856.86,Europe
2024-12-25,504.23,Americas
2023-12-20,632.84,Africa
2022-04-02,335.3,Africa
2024-09-09,408.93,Americas
2023-11-24,369.64,Africa
2022-01-03,849.71,Americas
2022-07-10,873.71,Americas
2022-07-04,751.62,Europe
2023-06-27,448.58,Americas
2024-02-27,690.0,Europe
2022-12-02,374.51,Asia
2024-06-11,481.56,Americas
2024-10-09,433.11,Americas
2023-04-17,513.62,Asia
2023-01-01,861.23,Americas
2024-05-27,874.5,Europe
2022-04-30,770.22,Europe
2024-11-18,391.35,Europe
2022-12-16,639.81,Americas
2023-09-20,606.37,Americas
2024-03-08,533.15,Europe
2024-11-27,416.42,Americas
2023-01-28,422.92,Americas
2022-07-06,852.08,Africa
2022-07-21,757.3,Asia
2022-11-21,696.09,Asia
2022-11-10,759.72,Asia
2024-04-16,817.53,Asia
2022-12-08,332.81,Asia
2022-09-12,633.24,Asia
2023-11-09,765.39,Europe
2022-08-12,529.05,Americas
2024-08-23,427.0,Americas
2022-06-10,691.9,Africa
2022-06-21,888.25,Europe
2023-08-29,878.06,Asia
2022-04-25,471.17,Europe
2024-01-25,576.3,Asia
2022-08-03,524.49,Americas
2023-01-24,887.18,Europe
2024-03-23,721.16,Americas
2023-02-04,700.74,Asia
2024-01-05,376.07,Asia
2024-09-02,448.21,Africa
2023-11-09,607.94,Asia
2024-11-17,764.4,Americas
2022-06-11,608.15,Europe
2024-04-21,832.5,Europe
2022-09-17,615.57,Asia
2023-04-01,516.25,Africa
2022-12-27,586.8,Europe
2024-07-06,453.87,Europe
2024-07-28,422.18,Asia
2024-06-18,626.07,Europe
2024-04-20,774.59,Europe
2024-07-22,547.38,Americas
2023-08-26,440.51,Americas
2023-05-14,838.72,Europe
2022-06-07,330.4,Europe
2022-07-08,571.17,Americas
2024-03-31,535.48,Europe
2024-04-14,472.57,Africa
2023-01-05,636.98,Europe
2022-01-25,728.83,Europe
2023-09-13,729.21,Europe
2024-08-17,659.36,Africa
2023-12-06,717.57,Asia
2023-07-01,830.89,Americas
2024-03-23,343.26,Americas
2022-07-01,592.14,Americas
2024-09-20,485.76,Americas
2022-09-09,781.08,Europe
2024-08-19,806.62,Europe
2024-12-17,760.11,Africa
2023-04-25,661.93,Africa
2024-04-11,582.59,Africa
2022-04-17,601.09,Africa
2024-05-08,368.55,Africa
2023-01-21,753.22,Americas
2024-07-31,598.87,Europe
2023-07-12,317.22,Americas
2023-12-05,669.58,Americas
2024-04-25,899.09,Europe
2022-10-24,529.39,Europe
2024-06-22,549.31,Americas
2024-06-30,725.73,Europe
2023-03-30,401.09,Europe
2023-10-27,409.63,Americas
2023-11-22,508.1,Europe
2022-05-23,833.13,Africa
2023-09-14,446.91,Asia
2022-02-13,581.66,Africa
2023-08-18,760.51,Asia
2023-07-18,499.22,Americas
2024-02-02,470.67,Africa
2022-11-23,722.97,Africa
2022-05-06,799.95,Africa
2022-05-06,517.64,Americas
2024-12-02,831.48,Americas
2023-12-02,697.07,Europe
2022-05-13,367.9,Asia
2023-10-16,757.59,Asia
2024-08-21,807.35,Asia
2023-02-23,726.12,Americas
2022-11-09,396.02,Europe
2024-11-27,304.46,Africa
2022-09-10,668.43,Americas
2022-12-30,312.55,Africa
2024-12-24,810.25,Africa
2023-05-26,793.78,Asia
2023-06-24,308.32,Europe
2023-01-22,352.45,Africa
2022-05-05,766.23,Africa
2024-09-12,528.44,Asia
2022-08-01,376.13,Africa
2022-11-26,670.91,Americas
2023-05-15,415.08,Americas
2024-04-29,502.06,Americas
2024-01-12,501.66,Americas
2022-01-04,334.37,Africa
2023-01-28,659.73,Europe
2024-05-04,778.38,Europe
2022-12-26,581.05,Europe
2024-07-12,744.61,Americas
2022-09-01,845.95,Americas
2022-12-07,771.03,Africa
2022-12-14,507.08,Europe
2022-05-25,479.48,Europe
2022-09-06,824.53,Americas
2023-09-19,628.71,Asia
2022-12-19,644.22,Asia
2022-10-16,411.3,Europe
2023-07-18,386.76,Americas
2023-01-30,346.23,Asia
2024-09-14,343.46,Europe
2024-12-25,637.42,Americas
2022-10-29,622.26,Asia
2022-05-23,808.73,Asia
2024-06-27,890.62,Europe
2022-09-23,893.55,Europe
2023-10-28,411.45,Africa
2022-03-04,677.57,Europe
2023-10-21,366.4,Asia
2023-10-30,559.49,Africa
2023-09-03,657.77,Americas
2023-01-08,887.97,Americas
2023-09-09,734.54,Americas
2024-12-25,454.89,Europe
2024-12-19,514.19,Americas
2024-05-26,759.0,Europe
2022-10-24,614.15,Europe
2024-07-26,321.3,Americas
2022-08-06,328.98,Americas
2024-10-04,770.02,Europe
2023-09-02,700.07,Europe
2024-04-11,333.2,Africa
2023-10-10,408.86,Europe
2022-08-25,830.02,Africa
2022-07-09,866.36,Africa
2023-03-19,579.58,Europe
2024-12-17,722.66,Asia
2022-03-30,735.69,Europe
2024-08-04,411.58,Africa
2022-07-07,578.71,Asia
2023-04-05,618.78,Africa
2023-03-08,729.03,Africa
2024-02-21,301.97,Americas
2022-03-29,577.07,Americas
2023-09-11,880.13,Europe
2024-02-09,595.4,Americas
2023-10-31,386.4,Europe
2023-08-01,699.41,Americas
2022-07-27,832.48,Americas
2024-07-04,370.86,Asia
2022-04-26,527.42,Americas
2022-03-24,360.14,Europe
2023-09-28,581.24,Americas
2022-09-10,691.25,Europe
2023-07-16,330.23,Asia
2022-04-12,742.28,Europe
2023-06-03,671.32,Americas
2022-02-15,842.58,Europe
2022-04-20,406.08,Europe
2022-10-29,882.62,Asia
2023-10-11,669.18,Europe
2024-01-03,759.76,Europe
2023-05-15,381.4,Asia
2023-09-01,421.29,Asia
2024-09-14,702.26,Asia
2024-02-12,846.87,Europe
2022-05-27,417.48,Americas
2023-12-14,354.49,Europe
2022-01-03,642.2,Europe
2022-01-20,308.28,Americas
2024-10-28,688.14,Asia
2022-05-06,744.37,Americas
2024-01-15,796.69,Asia
2024-09-06,818.56,Europe
2022-04-07,547.96,Asia
2022-11-06,771.65,Asia
2022-11-19,829.27,Europe
2023-10-02,777.83,Asia
2022-03-11,331.95,Europe
2024-09-08,695.6,Americas
2024-01-20,414.12,Americas
2024-06-15,690.72,Africa
2024-03-18,833.87,Europe
2023-01-03,415.14,Asia
2023-01-18,549.4,Americas
2022-04-18,564.19,Europe
2022-08-09,830.3,Americas
2022-01-16,304.3,Europe
2022-02-28,427.62,Americas
2022-12-26,887.11,Asia
2024-12-08,394.39,Europe
2022-12-15,426.98,Europe
2023-03-23,846.78,Europe
2023-06-23,462.91,Americas
2023-04-03,867.2,Americas
2022-08-09,847.9,Asia
2023-04-25,584.17,Americas
2023-12-29,452.45,Africa
2024-09-08,486.68,Asia
2023-09-27,891.28,Asia
2024-04-12,658.87,Africa
2023-01-04,508.44,Asia
2022-04-11,445.91,Africa
2024-10-24,319.93,Europe
2022-06-18,754.19,Asia
2023-06-25,361.86,Europe
2024-01-10,476.79,Europe
2024-12-09,531.3,Asia
2024-12-02,812.97,Africa
2023-06-04,588.14,Asia
2024-08-19,374.81,Europe
2024-06-15,313.86,Asia
2023-01-13,302.95,Africa
2023-03-18,850.38,Americas
2023-10-22,536.16,Europe
2023-12-04,419.49,Africa
2023-04-01,607.41,Africa
2023-06-22,552.28,Asia
2022-05-10,888.93,Americas
2022-03-07,562.05,Europe
2024-08-31,778.28,Asia
2023-10-13,857.09,Africa
2023-02-07,547.54,Europe
2022-01-20,441.38,Asia
2024-08-16,682.01,Africa
2023-03-13,637.87,Europe
2024-11-15,818.06,Asia
2022-08-19,498.83,Asia
2024-03-20,678.17,Europe
2023-06-05,718.8,Europe
2023-09-23,651.8,Americas
2024-11-12,755.98,Americas
2022-01-11,715.83,Americas
2023-06-14,700.82,Europe
2024-02-16,792.98,Asia
2022-03-19,689.99,Africa
2024-03-23,413.36,Asia
2022-02-13,869.48,Europe
2024-08-31,576.57,Europe
2023-03-15,701.34,Europe
2023-01-17,881.47,Africa
2024-11-01,762.45,Africa
2024-04-29,824.16,Asia
2022-09-19,548.7,Americas
2024-05-05,563.15,Africa
2024-11-24,899.87,Europe
2022-11-02,606.97,Europe
2023-01-23,326.48,Asia
2023-08-27,762.68,Europe
2022-02-23,797.63,Africa
2023-12-21,585.14,Asia
2022-10-04,483.52,Asia
2022-09-04,553.42,Africa
2024-09-27,840.48,Asia
2022-01-13,632.23,Europe
2024-04-24,555.43,Asia
2024-09-25,444.27,Africa
2022-07-05,330.35,Africa
2022-03-23,723.4,Europe
2024-07-09,777.36,Americas
2023-06-06,797.34,Asia
2022-12-03,838.01,Europe
2023-10-08,397.8,Europe
2024-05-01,424.35,Europe
2022-01-24,580.11,Europe
2024-06-16,580.11,Asia
2024-11-23,822.78,Africa
2024-02-17,581.82,Asia
2022-09-14,386.39,Europe
2023-09-25,618.75,Americas
2022-12-16,673.82,Asia
2023-06-24,303.39,Europe
2024-01-21,739.65,Africa
2023-08-05,323.13,Europe
2024-11-23,465.74,Asia
2023-08-28,683.1,Americas
2024-08-12,750.96,Asia
2023-05-17,301.3,Asia
2024-12-18,419.45,Europe
2023-11-26,581.19,Europe
2022-12-22,388.01,Asia
2022-05-11,499.9,Asia
2024-05-05,685.13,Europe
2022-12-29,775.99,Asia
2023-01-04,749.36,Africa
2024-11-24,330.78,Asia
2024-07-15,805.82,Europe
2023-09-17,320.8,Europe
2023-08-09,835.9,Europe
2024-10-07,522.74,Europe
2022-12-25,824.44,Africa
2023-07-13,729.15,Americas
2022-08-17,496.89,Asia
2022-03-13,373.35,Asia
2023-09-27,825.2,Americas
2022-07-16,589.88,Europe
2023-11-24,808.97,Africa
2024-01-11,404.47,Asia
2024-11-05,654.27,Americas
2024-07-08,839.24,Africa
2024-08-03,418.19,Asia
2024-12-13,669.46,Europe
2024-04-21,840.34,Asia
2022-03-07,890.08,Europe
2023-12-11,438.17,Africa
2024-04-15,863.67,Americas
2023-05-25,727.22,Europe
2024-04-12,636.59,Europe
2022-08-09,439.01,Asia
2022-02-26,702.23,Asia
2022-08-30,715.24,Americas
2024-10-21,379.46,Europe
2024-09-17,362.13,Asia
2024-11-22,370.78,Americas
2022-08-10,739.46,Europe
2023-11-01,724.58,Africa
2022-04-14,817.56,Europe
2023-11-21,886.64,Asia
2022-11-27,704.19,Americas
2024-09-11,456.19,Asia
2024-09-07,491.53,Asia
2022-02-16,500.93,Africa
2024-06-09,526.47,Europe
2022-10-21,324.74,Europe
2022-10-06,794.31,Asia
2022-07-23,329.41,Americas
2023-03-16,860.96,Americas
2023-08-04,748.36,Asia
2022-01-01,758.99,Americas
2022-04-29,705.68,Europe
2024-08-05,652.46,Americas
2022-09-12,825.45,Asia
2024-04-17,508.91,Africa
2023-06-04,481.56,Asia
2024-06-20,812.83,Europe
2024-02-26,700.01,Asia
2023-02-01,745.59,Europe
2022-04-03,315.94,Europe
2024-10-22,709.57,Africa
2023-09-02,849.0,Africa
2022-09-04,501.91,Asia
2023-09-18,552.17,Europe
2024-06-20,620.03,Africa
2022-11-29,654.43,Americas
2022-05-02,785.57,Asia
2022-01-16,815.86,Africa
2024-01-06,403.57,Americas
2024-07-18,866.9,Africa
2024-02-10,880.03,Africa
2022-10-11,534.99,Americas
2024-08-28,360.38,Africa
2022-07-24,898.04,Americas
2023-05-31,564.48,Americas
2024-03-22,762.12,Americas
2022-05-06,439.03,Africa
2024-06-25,334.06,Europe
2024-06-16,496.59,Americas
2022-06-14,340.12,Africa
2024-11-28,593.36,Africa
2024-10-26,335.24,Asia
2022-01-02,708.39,Africa
2023-05-30,721.4,Asia
2023-04-16,830.22,Asia
2022-11-19,854.98,Asia
2024-12-13,675.35,Africa
2023-02-28,381.34,Europe
2024-09-14,557.74,Africa
2022-07-04,342.58,Africa
2023-08-07,554.12,Asia
2023-04-25,669.43,Asia
2022-05-24,338.09,Asia
2022-07-11,884.25,Europe
2022-02-02,300.11,Asia
2023-10-07,821.96,Africa
2022-10-02,615.18,Africa
2023-05-05,331.51,Africa
2023-10-24,457.55,Asia
2024-05-25,757.02,Americas
2024-01-03,745.55,Americas
2022-03-03,530.02,Asia
2023-10-22,716.98,Africa
2023-04-16,739.0,Americas
2022-03-10,400.76,Asia
2023-09-30,862.08,Europe
2022-03-26,381.83,Europe
2022-02-06,497.22,Asia
2024-09-22,332.8,Americas
2024-06-28,690.67,Africa
2024-02-06,355.04,Europe
2024-07-03,384.84,Africa
2024-04-18,650.41,Europe
2023-07-12,301.24,Africa
2022-01-16,825.8,Asia
2024-06-06,304.83,Americas
2024-07-26,793.75,Europe
2022-03-09,733.72,Africa
2023-09-01,492.33,Asia
2023-10-11,605.46,Americas
2024-07-28,335.55,Americas
2023-01-05,784.64,Europe
2022-11-29,834.3,Africa
2022-12-03,613.2,Americas
2023-01-29,432.91,Africa
2024-06-29,715.98,Africa
2024-09-19,850.22,Africa
2023-09-16,804.42,Europe
2022-02-18,830.57,Europe
2024-08-17,869.97,Americas
2022-07-02,610.42,Africa
2023-02-18,681.11,Europe
2022-02-15,461.19,Africa
2024-10-09,392.3,Africa
2024-09-07,812.46,Africa
2024-09-20,320.23,Africa
2024-10-14,506.46,Asia
2023-08-28,447.64,Africa
2023-08-17,641.59,Africa
2024-05-02,820.89,Africa
2023-08-19,762.68,Asia
2024-01-11,881.84,Asia
2023-05-17,699.09,Americas
2023-04-11,508.09,Americas
2023-01-25,636.96,Asia
2024-12-13,899.05,Asia
2024-01-20,416.06,Asia
2022-05-30,532.54,Europe
2023-06-01,329.46,Europe
2023-12-07,303.23,Africa
